abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
shot	golI/calA/SUtiMga/koSISa/SoYta/prayawna/niSAnebAja/KZarAba/raMgabiraMgA/
shoulder	kanXA/kazXA_para_uTA/kanXe_se_kanXA_milA_kara/svIkAra_kara/
should	yaxi/agara/cAhiye/
shout	cillAhata/cillA/
shovel	belacA/belace_se_uTAnA_yA_haTA/
shove	nikala_jA/dAla_le/XakkA/Dakela/
shower	varRA/nahA/SoYvara_stoYla/bOCAra_ho/bOCAra_kara/
show	xiKAvA_kara/CodZa_xe/xiKA/praxarSanI/xarSA/A/nAtaka/
showy	AdambarI/BadZkIlA/
shred	leSamAwra/XajjiyAM_udZA/CotA_tukadZA/Cote_tukadZoM_meM_kAta/
shrewd	samaJaxArIpUrNa/samaJaxAra/weja/
shriek	cIKa/
shrink	sahama_jA/Gata/sikuda/manoroga_cikiwsaka/sikudane/
shroud	kaPZana_oDZA/kaPZana/CipA/
shrug	upekRA_kara/Sraga/kaMXe_ucakA/skaMXa_kaMpana/
shunt	mudZa/xUsarI_patarI_para_le_jA/vixyuw_upamArga/
shun	xUra_raha/alaga_kara_xe/wyAga_xe/
shut	banxa_kara_xe/cupa_kara/roka/nikAla_xe/harA_xe/banxa_kara/banxa_ho/cupa_raha/ApUrwi_banxa_kara_xe/banxa_ho_jA/
siamese	SyAmI/SyAma_xeSa_vAsI/
sicken	GinOnA/GqNA_uwpanna_kara/
sick	asvasWa/ultI/vamana_kara/
side	bagalI_relapaWa/sawaha/BujA/kinArA/Palaka/pakRa/xala/ora/pakRa_le/BAga/hissA/waraPZa/kA_pakRa_le/
sieve	CalanI/CAna/
sift	Cana/CAnabIna/
sight	xqSya/nigAha/xqRti/xeKa/
sigh	sarasarAhata/ke_liye_warasa/gaharI_sAzsa_le_kara/
signal	viSiRta/saMkewa/signala/saMkewa_kara/
significance	mahawva/mawalaba/
significant	mahawvapUrNa/sArWaka/
sign	kArya_keliye_saMJowA_kara/kArya_ke_lie_samaJOwA_kara/saMkewa/haswAkRara_kara/lakRaNa/
silence	cupa_karA/cupa_cApa/KAmoSI/SAnwi/cupacApa/sannAtA/cuppI/
silken	reSamI/maXura/
silly	bevakUPZa/alpabuxXi/avyAvahArika/mUrKawApUrNa/bevakUPAnA/
silt	gAxa/mittI_yA_rewa_se_rAswA_banxa_kara/
silver	rajawa/cAzxI/cAzxI_caDZA/cAMxI_ke_barwana/
similarly	samAna_rUpa_se/isI_waraha_se/
simple	sAxA/sAXAraNa/sarala/
simply	sAxagI_pUrNa_DaMga_se/vAswava_meM/basa/sarala_DaMga_se/
sincere	ImAnaxAra/vAswavika/hArxika/KarA/niRkapata/
since	se/waba_se/jaba_se/kyoMki/cUzki/ke_bAxa_se/
single	eka_hI/eka/avivAhiwa/eka_BI/
sing	gA/gAnA/
singular	ekavacana/asAmAnya/
sink	Xazsa/baxala_jA/gira/bETa/Koxa/Gata/XazsA_xe/jalamagna/pI/dUba/hOxI/gataka_le/gira_jA/ukadU_bETa_jA/
sin	aparAXa/pApa/pApa_kara/
site	sAita/
sit	bETaka/bETa/ArAma_se_bETa/
situate	hE/basa/raKa/sWiwa/
situation	sWiwi/hAlawa/parisWiwi/
size	parimANa/AmApa/viswAra/kAPI_badA/nApa/kula_rASi/AkAra/
sizzle	uwwejaka/kadZakadZA/
skillfully	kuSalawApUrvaka/
skim	wejI_se_hata/sarasarI_nigAha_xOdZa/nikAla/
skin	cAxara/malAI/CilakA/wvacA/camadZA_uwAra/CilakA_uwAra/
skip	kUxa/uCala-kUxa_kara/Coda/
skirmish	JagadZA/Cote_tukadZoM_meM_BidZa/
skirt	kinArA/GAGarA/ke_kinAre_kinAre_cala/
skull	maswiRka/ximAga/KopadI/
slab	SilA/patiyA/pattI/kI/
slack	manxa/lAparavAha/DIlA_padZa/DIlI_pEMta/
slam	jZora_se_pataka_xe/jZora_se_mAra/katu_AlocanA_ho/jZora/jZora_se_baMxa_kara/
slander	miWyApavAxa/miWyApavAxa_kara/
slap	pataka_xe/capata_mAra/
slash	cIra/cIrA/
slate	siletI/kadZI_AlocanA_kara/sleta_kI_pattI/sleta/
slaughter	harA/marA/hawyA/
sleep	sonA/so/nIMxa/
sleeve	AswInavAlA/bAzha/
slice	kAta/hissA/tukadZA/
slide	Pisala/gira/JUlA/vApisa_calA_jA/slAida/xUra_howA_huA/saraka/girAvata/PisalanI_jagaha/
slight	xubalA/wiraskArapUrNa/pawalA/WodA/wucCa/
slim	pawalA/kama/
slip	parcI/jZarA_sI_BI_BUla/nikala/aMxara_A/pICe_Pisala/saraka/nikala_jA/dAla/gira_jA/cupake_se_Gusa_A/jaldI_se_uwAra/cupake_se_nikala_jA/CodZ_xe/anajAne_meM_bawA_xe/galawI/petIkota/sWAnAnwariwa_ho/wejI_se_bIwa/kama_ho/BUla_jA/calA_jA/saraka_jA/Pisala_jAne/Pisala/
slit	kAta/
slope	DAla/DAlU_ho/Xasaka_jA/
slop	gaMxA_pAnI_hatA/Calaka/suara_kA_KAnA/
slough	xalaxala/uwAra/
slowdown	XImA_honA/maMxI/
slow	kama_mehanawa_kara/gawi_XImI_kara/XImA/
slumber	alpanixrA/alpanixrA_le/
slump	maMxI/girAvata/gira_padZa/
slur	aspaRta_AvAjZa/kalaMka_laga/miWyA_Aropa/aspaRta_uccAraNa/
smack	svAxa/jZora_se_BidZa_jA/halke_se_cUma/cataKAre_le_kara_KA/sIXe/wamAcA/catAka_se_mAra/TIka/
small	laGu/WodA_sA/WodA/kama/CotA/
smarten	AkarRaka_banA/
smart	cawurAI/acCA/buxXimAna/joraxAra/xuHKI_mahasUsa_kara/cuswa/tIsa/
smash	uwwama/piye_hue/takarAne_kI_Xvani/jZorase_mAra/smESa/jZabarxaswa/xurGatanA/takkara/wodZA_xe/tUta_jA/takarA_jA/PeMka/
smear	XabbA/mElA_kara/baxanAma_kara/powa_xe/lagA_le/XuMXalA_kara_xe/
smell	kA_pawA_lagA/pawA_lagA/BAzpa_le/mahaka/xurganXa_A/bU_A/suganXa/xurganXa/meM_A_rahI/anuBUwi/sAzsa_le/meM/KuSabUxAra/baxabUxAra/BAzpa/wIKI_mahaka_se_Bara/sUzGa/ganXa/
smile	sAWa_xe/muskarA/
smite	pyAra_meM_dUbA/mAra/
smoke	XUmrapAna/XUmrapAna_kara/BagA/
smooth	cikanA/sapAta_kara/maXura/sapAta/mulAyama/SAnwa/nirviGna/AsAna/ArAma_se/sahaja/lagA/BulAvA_xene_vAlI_KuSAmaxa/bahakAne_vAlI_KuSAmaxa/bahaka_jA/TIka_kara/PElA/TIka_ho/cikanA_kara/hatA/
smudge	xAga/PEla_xe/gaMxA/XabbA/XabbA_dZAla/
smuggle	waskarI/waskara-vyApAra_kara/
snag	kaTinAI/Pata/
snake	sAzpa/reMga/
snappy	sajIlA/cidacidA/jIvanwawA_se_pUrNa/maswI_BarA/rocaka/
snap	wAwkAlika/samAnawA_para_nikalanevAlA_AScarya_BAva/ASuciwra/Poto_le/kAta_le/gusse_se_kaha/kadZakadZAhata/wASa_ke_pawwoM_kA_Kela/
snare	PazsA_ho/jAla/PazsA/
snarl	karkaSa_svara_meM/garaja/gurrAhata/ulaJana/ulaJA_xe/
snip	PZAyaxe_kA_sOxA/kawaran/kAta/
snooker	biliyarda_tebala_kA_Kela/pareSAna_karaxe/
snore	KarrAtA/KarrAtA_le/
snowball	hima_golA/jZora_pakadZa/
snow	baraPZa/baraPZa_gira/
snub	cipatA_huA/JidZakI/dapata/
snuff	buJA/nasya/
snug	suKaxa/susaMhawa/ArAmaxeha/
soak	wara-bawara/BigA_huA/soKa/cUsa_le/Bigo/
soap	sAbuna/calaciwra/sAbuna_lagA/
soberly	sOmyawApUrNa_DaMga_se/sOmyawA_se/
sober	sAxA/gamBIrawA_kI_ora/saMwuliwa/amawwa/
sob	sisakI/sisaka/
societal	sAmAjika/
sock	mojZA/Saswra_kA_AGAwa/
sod	xikkawa/GAsa_kA_mExAna/AxamI/samasyAkAraka_vyakwi/GAsa_lagA/
soft	narama/mulAyama/sIXI/halakI/vinamra/maMxa/svacCa/komala/mqxu/
soil	mittI/mElA_kara/
solace	sAnwvanA/sAnwvanA_xe/sanwuRta_kara_xe/mana_kA_bahalAva/vinoxa/rAhawa/
solder	tAzkA/tAzkA_lagA/
solemn	gamBIra/paviwra/viXivawa/parama_pAvana/
sole	sola/kukurajIBI/ekamAwra/pEra_kI_walavA/
solid	niranwara/pUrA-pUrA/Tosa/Gana/
solitary	eka_BI/ekAnwavAsI/ekAnwa/akelA/
solution	Gola/hala/uwwara/
solve	hala_kara/kisI_praSna_ko_hala_kara/
some	jinameM_se_kuCa/unameM_se_kuCa/kuCa/WodA/kuCa_hI/WodI_bahuwa/kisI/Pira_kaBI/kisI_na_kisI/kaI/badA/kAPI/
soothe	kama_kara/sAMwvanA_xe/SAMwa_kara/
sophisticated	AXunika/vivekI/
sop	bahuwa_gIlA/riyAyawa/
sorrow	xuHKa/xuHKI_ho/
sorry	xuKI/Kexa/Kexa_hE/
sort	kI_BAzwi/prakAra/CAzta/sulaJA/
so	iwanA/isaliye/vEsA/uwanA/vEse_hI/EsA/EsA_hI/wo/isa_prakAra/bahuwa/awaH/
sound	jisakI_eka_KAsa_Xvani_ho/laga/AvAjZa/prawIwa_ho/AvAja_kara/vyakwa_kara/mana_tatola/gaharAI_nApa/sahI/svasWa/gaharA/viSvasanIya/KUba/bajA/Xvani/yukwiyukwa/gaharAI_ke_sAWa/gaharI/
soup	kAra_Axi_ke_iMjana_kI_Sakwi_baDZA/SorabA/
source	srowa/uxgama/
sour	cidZacidZA/cidZacidZA_ho_jA/KattA_ho_jA/KattA/
sovereign	SAsakIya/SAsaka/
sow	pExA_kara/ropa/suara/bo/
spaced	anwara_para_raKa/
space	aMwarAla/anwara_para_raKa/aMwarikRa/jagaha/avaXi/anwarikRa/
spade	PAvadA/hukuma_kA_pawwA/
spank	pitAI/Wappada/
span	cOdZAI/cakAcaka_raha/avaXi/PElAva/PElA_ho/
spare	kama/SeRa/bacA/awirikwa/KAlI/kara/
sparkle	camakaxAra/camaka/
spark	ciMgArI/kiraNa/uwsAha/uwsAhiwa_kara/vivAxa/
spawn	jalANdaka/aNde_xe/
speak	wIlI/bola/bAwa_kara/bAwacIwa_kara/BARaNa_xe/kaha/ora_se_bola/prawiniXiwva_kara/ahasAsa_karA/sAhasa_ke_sAWa_bola/
specialize	viSeRa_waraha_kA/viSeRajFa_bana/
specify	bawA/viSeRa_rUpa_se_ulleKa_kara/ulleKa_kara/viSiRta_nirxeSa_kara/nirXAriwa_kara/viSiRta/
spectacle	caSmA/praxarSana/
spectacular	SAnaxAra/
speculation	atakalabAjI/atakala/p/munAPAKorI/parikalpanA/
speculative	kOwUhalapUrNa/lABa_kI_ASA_se_kiyA_huA/kalpiwa/
speed	cAla/raPwAra/wejZI_se_cala/
speedy	wejI_se/
spell	mAhOla/vyAKyA_kara/bawA/bola/kaha/xOra/uccAraNa_karanA_yA_liKa/
spend	biwA/Karca_kara/lagA_xe/
spent	Karca_kiyA/WakA-hArA/
sphere	kRewra/golA/
spherical	gola/golIya/golAkara/
spice	masAle/kuCa_naI_cIjZa_milA/uwsAha/masAlexAra/rocaka_banA/
spike	milA/roka_xe/wejI_se_baDZa_jA/kIla_jadZa/XAwu_kI_kIla/pravAha_meM_kRaNika_parivarwana/
spill	badZI_saMKyA_meM_nikala_kara_bAhara_A/PEla_jA/Calaka_jA/Calaka/CalakA/
spinning	karwana/kawAI/GUmawA/
spin	GumAva/GumA/sUwa_kAwa/wejI_se_calA/gaDZa/buna/sEra/
spiral	sarpila/sarpilAkAra/kuNdalI/
spirit	AwmA/SarAba/uwsAha/udZA_le_jA/
spit	GuraGurA/ugala_xe/kaha/XarawI_jo_samuxra_meM_calI_jA/sIMka/baka_xe/halkI_bAriSa/WUka/
splash	Capa-Capa/CIMte_dZAla/
splendid	gOravapUrNa/SAnaxAra/
splinter	PAzsa/cira/
split	viBakwa_ho/viBAjiwa_ho/viBAjiwa_kara/bAzta_le/baztA_ho/bazta_jA/Pata_jA/Pata_ke_Kula_jA/kAta_le/alaga_ho_jA/alaga_ho/pala/bazta/kAtA_huA/viBAjiwa/kAta/PZAdZa/
spoil	PAZyaxA/lUta/bigAdZaxe/
spoke	wIlI/bolA/
sponge	spaMja/spaMja_se_Xo/
sponsor	prAyojiwa_karanevAlA/prAyojiwa_kara/
spontaneous	sahaja/manamAnI/
spoof	Taga/cakamA_xe/
spool	caraKI/caraKI_para_lapeta/
spoon	cammaca/cammaca_se_le/
sport	Kela_saMbanXI/haMsI_kA_pAwra/Kela/
spotlight	spoYta_lAita/spoYta_lAita_dAla/
spot	GatanA_sWala/XabbexAra/XabbA/xeKa/jagaha/sWAna/niSAna/
spout	nala/vega_se_PUharA_CodZa/
sprawl	pasara_jA/iXara-uXara_PEla_jA/
spray	ladZI/bOCAra/biKara_jA/PuhAra/CidZaka/
spread	biCA/lagA/prasAraNa/pracAra/PElA/PElAva/PEla/
sprig	tahanIxAra/tahanI/
spring	spriMga_lagA_huA/spriMga/uCala/JaranA/vasanwa/kUxa/ekAeka_AyI/nikAla/nikala/
sprinkle	CidZakAva/CidZaka/
sprint	laGu_xOdZa/badZI_wejZI_se_xOdZa/
spruce	banA-TanA/sprUsa_vqkRa/SrqMgAra_kara/
spurt	wejZa_gawi/PUta_nikala/
spur	prowsAhana/prowsAhiwa_kara/weja_ho/baDZA/prowsAhiwa_ho/AvAhana/parvawa_skanXa/CotA_rAswA/
spy	jAsUsa/jAsUsI_kara/
squalid	anEwikawApUrNa/gaMxA/
square	TIka_TIka_hisAba_cukawA_karane/wEyAra_kara/sIXA/barAbarI_kI_BAgIxArI/barAbarI/ImAnaxAra/lafAI_ke_liye_wEyAra_ho/cukawA_kara/barAbarI_kara/sparXA_kara/varga/ijAjawa_le/anukUla_ho/sIXe/vargAkAra_banA/vargAkAra/
squash	XakiyA_kara_Gusa/takarA_le/xabA/Sarabawa/skvoYSa/nicodZa/xaba/kumhadZA/Kisaka_jA/masala/nakAra_xe/TUzsa/kucalA_huA/picakA_huA/xabA_huA/masala_jA/BIda/BurawA_banA_xe/
squat	gola-matola/uTaka-bETaka/ukadZU_bETa/avEXa_rUpa_se_basa_jA/avEXa_nivAsa_sWAna/
squawk	cIKa/cIKa_mAra/
squeak	cUz-cUz/cUz-cUz_kara/
squeal	kilakArI/cillA/
squeeze	nikala/nicodZa/nikAla/nikAlA_huA/nicodZa_le/xabA/
squint	BeMgApana/aXaKulI_AzKoM_se_xeKa/
squirt	aBimAnI/PuhArA_mAra/
stable	aswabala_meM_sWAna/sWira/aSvaSAlA/
stab	cuBane_vAlA/wIkRNa/koMcI/Jata_se_buJA/uTa/koSiSa/tIsa/GAva/prahAra_kara/
stack	cAlabAjZI_se_PeMta/Bara/Dera_lagA/Dera/
staff	viBAga/sahArA/karmacArI/BarA_ho/
stage	aBinaya/avasWA/caraNa/sWiwi/xOdZa/swara/maMca/
stain	XabbA/XabbA_dAla/raMga/
stake	xAvA_kara/hissA/KUztA/sahArA_xe/
stale	paSumUwra/purAnA/nIrasa/bAsI/PaPUMxA_huA/
stalk	Akada_kara_calane_laga/pICA_kara/dAlI/Cipakara_cala/
stall	XyAna_batA/tAla/xukAna/banxa_ho_jA/
stalwart	niRTAvAna/
stampede	BagaxadZa/BAga/
stamp	TappA_lagA/tikata/pEra_pataka/
stanchion	AXAra/teka/golaposta/gola_kA_KamBA/KamBA/
standard	mAnaka/AxarSa/kakRA/ucca_swara/
standing	Kade_rahane_kI_jagaha/sWAyI/prawiRTA/ijZjZawa/vijewA_krama/
standstill	(15.3.10/
stand	nirxiRta_kara/Kade_raha/saha/nirNaya/kataGarA/addA/kA_samarWana_kara/wEyAra_raha/wyAgapawra_xe/samarWana_kara/kA_pAlana_kara/datA_raha/para_najara_raKa/niBA/niSciwa_ho/stEMda/KadZA_ho/atala_raha/hE/xarSA/
staple	reSA/praXAna_mAla/kaccA_mAla/wawva/muKya_viRaya/muKya/stepala_kara/
stark	PIkA/pUrNa_rUpa_se/kaTora/
startle	cOMkA_xene_vAlA/cOMkA_huA/cOMkA/cOMka/
start	calA/SUru_ho/SUru_karanA/Suru_kara/cAlU_kara/cala_padZa/CUta_jA/cOkA_xe/prasWAna_kara/riAyawa/AramBa/
star	praBAviwa/nakRawra/jAnI_mAnI_haswI/siwArA/aBinewrI/aBinewA/uwkqRta/muKya_BUmikA_axA_kI/wArAMkiwa/muKya_kalAkAra/roYkastAra/aBinaya_kara/wArAMkiwa_kara/wArA/
starve	BUKA_mara/BUKa_laga/
state	avasWA/rAjya/viRama_sWiwi/bawA/rAjakIya/
station	steSana/wEnAwa_kara/
status	xarjA/sWiwi/
stave	kisI_burI_cIjZa_ko_svayaM_se_xUra_raKa/Cexa_kara_xe/koI_motI_CadZI_yA_dZaMdZA/
stay	jAge_raha/Tahara/ruka/raha/TaharanA/Pazsa_jA/cipaka_jA/atakA_raha/
steadily	sWirawApUrvaka/niranwara/lagAwAra/SAnwipUrNa_evaM_saMyawa_rUpa_se/
steady	sWira/anavarawa/
stealth	havAI_jZahAjZa_se_sambanXiwa_wakanIkI_SAKA/CupAva/
steal	curAyA_huA/cupake_se_jA/saswA_vikraya/corI_kara/
steam	BApa_se_nikAlaxe/BApa_se_nikAla_xe/BApa/
steel	ispAwa_se_nirmiwa_Saswra/ispAwa/saKwa_bana/
steep	awyaXika/owa_prowa_kara_xe/bahuwa_KadZI_caDZAI/xurAroha/Bigo_xe/
steer	stIyariMga/baCadZe_kA_mAzsa/mArga_xiKA/saMkewa/lAyA_jA/paricAlana/
stem	nalI/jadZa/wanA/roka/
step	nIce_uwara/sWAna_CodZa/pICe_jA/pICe_hata_jA/pEra_raKa/xUra_hata_jA/bAhara_nikala/A/kaxama/caraNa/kaxama_raKa/xurvyavahAra_kara/baDZa/stepa/kaxamoM_kI_Ahata/haswakRepa_kara/caDZa/anwaHsambanXa_paxa/paxa/xUra_hata/sIDZI/nikala/
sterling	viSvasanIya/pAuNdZa/pAuNda/SuxXa_cAzxI/KAlisa_cAzxI/SAnaxAra/uwkqRta/vAswavika/
sternly	saKwa/kaTorawApUrvaka/
stern	kaTora/kaTora_yA_nirxaya/
stew	wejZa_kadZavI/pakA/
stick	CadZI/lakadZI/asAXAraNa_vyakwi/GusedZa_xe/baraxASwa_kara/teka_lagA/cipakA/ataka_jA/Asa_pAsa_raha/meM_lagA_raha/ek_xusare_ke_prawi_vaPAxAra_raha/Apasa_me_judZa/AwaMka_PElAkara_lUta_le/bacAva_kara/kA_datakara_sAmanA_kara/lagA/ke_prawi_vaPAxAra_raha/bAhara_nikala/para_date_raha/pakade_raha/cipakA_raha/lada/pakRa_le/rakRA_kara/cabAne_vAlI_lakadZI/lATI/cipaka/
stiff	haTIlA/kaTina/BArI/joraxAra/kadZA/lASa/
stigma	cinha/varwikAgra/
still	Pira_BI/niScala/aBI_BI/Ora_BI/SAMwa_ho/SAMwa_kara/SAnwa/sWira/sWiwa/
stilted	rUKA/asvABAvika/banAvatI/
stilt	calane_ke_liye_badZA_daNdA/pAzva_raKakara_calane_vAlI_lakadI/bAzsa/
stimulant	uwwejaka_paxArWa/uwwejaka/preranA/preraka/
stimulate	preriwa_kara/
sting	xarxa/ukasAyA/xarxa_ho/daMka/dZaMka_mAra/
stink	burA/baxabU/baxabU_mAra/
stint	kAma_karane_kA_samaya/kaMjUsI_kara/
stir	uwwejiwa_kara/umadZa/bawaMgadZa/sanasanI/halacala/hilA/saxamA_pahuzcAnevAlA/hila/
stitch	XoKA_xe/sI/
stock	mojA/BarapUra_mAwrA_meM_raKA_jAne_vAlA/wijZArawI_mAla/Seyara_bajZAra/stoYka/
stole	xupattA/curAyA/
stone	paWarI/guTalI/pawWara/pawWara_se_mAra/
stoop	haxa_se_gira/Juka/Juke_hue_kaMXe/
stop	roka/banxa_kara/pUrNa_virAma/pUrNa_virAma_kI_sWiwi/virAma/TaharAva/baMxa_kara/ruka/
store	ekawriwa_kara/ikatTA_kara/xukAna/saMcaya/BarA_ho/baDZA/kirAne_kI_xukAna/saMciwa_kara/
storey	kahAnI/maMjZila/
storm	haMgAmA/AgababUlA_hokara_kaha/AzXI/hamalA_kara/
story	kahAnI/
straighten	sIXA_kara/samaJA/
straightforward	sIXe_sIXe/sIXA/
straight	suvyavasWiwa_kara/ImAnaxAra/lagAwAra/sIXA/
strain	aWaka_prayAsa/moca/xabAva/SElI/pravQwi/kula/kasakara_wAna/ullaMGana_kara/Barasaka_prayawna_kara/kRawi_pahuMzcA/kasakara_gale_lagA/CAna/wanAva_pExA_kara/parIkRA_le/aXika_BAra_dAla/wanAva/pUrI_Sakwi_lagAkara_xeKa/
strand	waMwu/PaMsa_jA/
strange	viciwra/anoKA/
strategic	yukwi_viRayaka/yuxXa_kOSala_sambanXI/
strategy	yukwi/raNanIwi/kAryanIwi/
stray	Cutaputa/Bataka_jA/BatakA_ho/
streak	pravqwwi/camaka/weja_xOdZa_lagA/xOra/laMbI-pawalI-XArI/XAriyAz_banA/
streamline	pravAhamArga/pravAhapUrNa_ba/
stream	pravAha/XArA/varga/prasAraN/wAMwA_lagA/baha/lahara/nikala/jA/A/BarA_ho/jalaXArA/viBAjiwa_kara/prasAriwa/
strength	Sakwi/sAmarWya/prabalawA/saxasya_saMKyA/saMKyA_bala/wAkawa/majZabUwI/xqDawA/kRewra_kI_wIvrawA/
stress	xabAva_se_pIdiwa/prawibala/mahawva_xe/wanAva/bala_xe/
stretch	PElA/PEla/KIMcA/wAnA/aMgadZAI_le/Ayu_baDZA/PEla_jA/pUrNarUpa_se_lagA_xe/jZarUrawa_se_jZyAxA_KIMca_xe/viswAriwa_kara/avaXi/waniwa_kara/viswAra/KIMcakara_baDZA/KIMca/
strictly	pUrI_waraha_se/pUrNawaH/saKwI_se/
stride	laMbe_kaxama/laMbe_kaxama_raKa/pragawi/lAMGanA/
strike	hadZawAla_karane_vAle_kAryakarwA/xuHKI/kAta_xe/strAika/sUJa/pExA_kara/acAnaka_Gatiwa_ho/hadZawAla_kara/pataka_xe/GusedZa_xe/se_takarA_jA/jalA/bajA/XyAna_AkarRiwa_kara/jamIna_se_Koxa_kara_nikAla/mAra/
string	kA_wAra/silasilA/kawAra/SrqMKalA/piro/caDZA/PAMsI_xiyA_jA/wAra/rassI/bAzXA_huA/
strip	CIna_le/KAlI_kara/Kola/kAta/pattI/nirvaswra/nagna/kapadZe_uwAra/tukadZA/uwAra_xe/BUBAga/nikAla_xe/CIla_le/CIla_xe/uwAra/nirvaswra_kara/cAxara_hatA_xe/Kuraca_kara_nikAla_xe/hatA/
stroke	mOlika/sOBAgya/mAra/
stroll	cahala_kaxamI/tahala/
strongly	xqDZawA_se/majZabUwI_se/
strong	majZabUwa/saSakwa/svasWa/kadZaka/wejZa/prabala/wIKA/xqDZa/weja/kadA/wIkRNa/awyaXika/kAPI_jZyAxA/
struck	praBAviwa/XanuRa-vAxyam/
structure	saMracanA/racanA_kara/
struggle	saMGarRa/saMGarRa_kara/jUJa/saMgrAma_kara/
strut	Puxaka/akadZakara_cala/akadZa_kI_cAla/KaMBA/
stubborn	haTI/haTIlA/
stub	tukadZA/se_Tokara_KAnA_yA_laga/
stucco	aswarakArI/plAswara/gacakArI_kara/
stuck	Pazsa_jA/atakA_huA/
studiously	suniyojiwa_warIke_se/
stud	paSuSAlA/batana/bunxe/Bara_xe/
study	aXyayana_kara/socA-samaJA/aXyayana/stadI/
stuff	sAmagrI/Bara/kAryakrama/
stumble	ladZaKadZAkara_bola/acAnaka_mila_jA/ladZaKadZA_jA/
stump	BARaNa_xewA_cala/kaTinAI_meM_dAla/TUzTa/kaTinAI_meM_padZa/
stunned	avAk/xaMga/niswabXa/
stunning	vilakRaNa/hoSa_udZA_xene_vAlA/
stunt	iSwahArabAjZI/bala_praxarSana/baDZane_na_xe/
stun	acewa_kara/behoSa_kara/cakiwa_ho/BOMcakkA_raha/swaMBiwa_kara/acewa_kara_xe/
stupid	mUrKa/nirarWaka/
sturdy	joraxAra/hattA_kattA/majabUwa/acCA/xqDZa/
style	banA/SElI/warIkA/aMxAjZa/nAma_xe/
subject	prajA/vaswu/vyakwi/viRaya/SAsiwa_kara/
submerge	dUba_jA/dUbA_huA/dubA_xe/dabA/
submit	jamA_kara/kaha/praswuwa_kara/mAna_le/samarpaNa_kara/
subsidize	sahAyawAprApwa/ArWika_sahAyawA_xe/
substantially	mUla_rUpa_se/kAPZI_haxa_waka/
substantial	badA/badA_Ora_Tosa/paryApwa/kAPI_haxa_waka/sArWaka/acCI_mAwrA_meM/
substitute	prayoga_kara/vikalpa/sWAnApanna_vyakwi/prawiniXi/kA/
subsume	sammiliwa_kara/anwargawa_mAna/
subtend	kakRAnwariwa_kara/anwariwa/
subtle	halkA/kRINa/pravINa/kuSala/kuSAgra/wIvra/awi_sUkRma/saMvexI/sUkRma/
subtraction	GatAva/vyavakalana/kAtane/
subtract	GatA/vyavakaliwa_kara/
succeed	sWAna_grahaNa_kara/saPala_ho/
success	saPalawA/saPala/
sue	syu/kisI_para_mukaxamA_kAyama_kara/
suffering	pIdA/kaRta/xuKaH/pIdiwa/xuHKI/vyaWiwa/kaRtamayI/kaRtakara/kaRtapraxa/kaTina/xuHKaxa/
suffer	pIdZiwa/uTA/vexanA/Jela/burI_waraha_praBAviwa_ho/
suggest	saMkewa_kara/suJAva_xe/
suitable	munAsiba/suviXAjanaka/SoBanIya/uciwa/mAkUla/anukUla/upayukwa/sahI/
suit	mukaxamA/nivexana/sUta/jazca/upayukwa_ho/Paba/rafga/wASa_ke_sUta/anukUla_ho/
sullen	hTZI/jZixxI/UxAsa/viRAxapUrNa/anXakAramaya/KZinna/
summation	anwima_aBivacana/saMkalana/
summer	grIRma/garmI/kA/
summit	SiKara_sammelana/parAkARTA/SiKara/
summon	sammana_xe/ikatTA_kara/bulA/
sum	sArAMSa_nikAla/Xana_rASi/Xana-rASi/savAla/sAra/jodZa/yoga/
sunken	XazsA_huA/jalamagna/dUbA_huA/
sun	XUpa/sUrya/XUpa_seMka/
superior	badZA/variRTa/baDiyA/acCI/behawara/sabase_acCA/SreRTa/awyaXika/vyafgyAwmaka/ucca/magZarUra/aXika_UzcA/xamBapUrNa_hAva_BAva/xamBapUrNa_vyavahAra/ne/badZe_loga/
superlative	sarvowwama/sarvowwamawA/
supernatural	lokAwIwa/
super	bahuwa_badZA/eka_pulIsa_aXikArI/
supplement	puraka/paripUrNa_kara/
supply	jalApUrwi/praxAya/ApUrwi/xe/sAmagrI/saplAI_kara/
support	prowsAhiwa_kara/calA/BaraNa-poRaNa_kara/tikA/prowsAhana/sahAyaka_ho/sahArA/sahArA_xe/
suppose	yaxi/mAna_le/mAna_lIjie/
supreme	uccawama/sarvocca/
sure	viSvaswa/niSciwa/
surface	bAhara/xiKAI_xe/waha_jamA/camakA/pqRTIya/UparI/sawaha/sawaha_para_A/sawahI/pqRTa/
surge	AveSa/umada/wejI_se_caDa/
surmise	aMxAjZA/aMxAjZA_lagA/
surmount	para_vijaya_pA_le/ke_Upara_ho/
surpass	banA_xe/SreRTa/Age_nikala_jZA/
surplus	awirikwa/aXiSeRa/
surprise	Ocaka/aprawyASiwa_GatanA/AScaryajanaka/AScarya/AScaryacakiwa_ho/AScaryacakiwa_kara/
surrender	AwmasamarpaNa/AwmasamarpaNa_kara/sOMpa_xe/
surround	Asa-pAsa_kA/kinArA/cAroM_ora_se_Gera/GirA_ho/
survey	paryavalokana/jAzca/sarvekRaNa_kara/sarvekRaNa/
survival	aswiwva/jIviwa_rahanA/uwwarajIviwA/
