ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
test clerk	parIkRaNa_klarka
test copy	parIkRaNa_kApI
test data base	parIkRaNa_AMEYkadZA_AXAra
test data	parIkRaNa_AMEYkadZA
test drive	gAdZI_kA_praWama_parIkRaNa
test interaction trigger	parIkRaNa_anyonya_kriyA_prarvawaka
test of significances	sArWakawA_parIkRaNa_aAMca
test pilot	vAyuyAna_ko_calAkara_parIkRA_karane_vAlA_cAlaka
test post	parIkRaNa_swaMBa
test program	parIkRaNa_kramAxeSa
test report	jAMca_riporta
test room assistant	parIkRaNa-kakRa_sahAyaka
test routine	parIkRaNa_nemakA
test specification	parIkRaNa_vinirxeSana
test tube baby	vIrya_secana_se_pExA_huA_baccA
test tube	paraKanalI
test variation trigger	parIkRaNa_parivarwana_prarvawaka
testicular artery	vqRaNa_XamanI
testing engineer	parIkRaNa_iMjIniyara
testing of hypothesis	prAkkalpanA_parIkRaNa_aAMca
testing report	parIkRaNa_ripota
testing room assistant mistry	parIkRaNa-kakRa_sahAyaka_miswrI
testing telegraphist	parIkRaNa_wAra_saMkewaka
tete a tete	ekAnwika_BeMta
text box	pATya_petI
text cursor	pATya_karsara
text editing	paTana_sAmagrI_sampAxana
text edition	mUlapATa_saMskaraNa
text editor	pATayAMSa_saMpAxaka
text editors	sAmagrI_saMpAxaka
text file transfer	pATya_saMcikA_aMwaraNa
text file	pATya_saMcikA
text formatter	pATyaMASa_saMrUpaka
text function	pATyaMASa_prawiciwraNa
text matter	viRayagawa_sAmagrI
text mode	pATya_viXA
text precision	pATya_pariSuxXI
text processing	pATayAMSa_saMsAXana
text section	pATyaMASa_BAga
text segement	pATyaMASa_KaMda
text segment	pATya_KaMda
text string search	pOYMTayAMSa_rajju_Koja
text transfer	pATya_aMwaraNa
textile commissioner	va_awra_Ayukwa
textile industry	va_awra_uxyoga
textile technology	va_awra_Silpa_axyogikI
textiles committee	va_awra_uxyoga_samiwi
texture mapping	saMgaTana_pariciwraNa
thank you very much	bahuwa_bahuwa_XanyavAxa
thank you	XanyavAxa
thanks a lot	bahuwa_bahuwa_XanyavAxa
thanks in advance	agrima_XanyavAxa
that did not matter	usase_koI_Parka_nahIM_padA
that does not matter	usase_koI_Parka_nahIM_padawA
that is to say	arWAwa
that is what	yahI_vaha_hE_jo
that is where	yahI_vaha_jagaha_hE_jahAz
that is why	isIliye
that means	yAne_ki
the Almighty	BagavAna
the East End	pUrvI_laMxana{jahAz_majaxUroM_ke_kAraKAne_hEM}
the First World War	praWama_mahAyuxXa
the Holy city	paviwra_mAnA_gayA_nagara
the Iron Age	lOhayuga
the Iron Curtain	lOhAvaraNa
the Third World	vikAsaSIla_xeSa
the absurd	mUrKawA
the almighty	BagavAna
the appraisal undertaken by audit board	leKAparIkRA_borda_xvArA_kiyA_gayA_mUlyAMkana
the big boss	badA_bAbu
the bird has flown	BAga_jAnA
the blind	aMXe_loga
the brave	vIra_loga
the calculus	gaNiwa
the city of light	jyowirmaya_Sahara
the crippled	apaMga_loga
the deaf	bahare_loga
the decencies	sAmAjika_jIvana_kA_SiRtAcAra
the deity	xevawA
the disabled	apaMga_loga
the doldrums	Kinna
the east end	pUrvI_laMxana{jahAz_majaxUroM_ke_kAraKAne_hEM}
the ebb and flow	samuxra_kA_jvAra
the elder son	badA_ladakA
the fallen	SahIxa_hue_loga{sEnika_iwyAxi}
the favourite	sarvapriya
the few	kuCa
the file in question is not traceable	saMxarBiwa_PAila_nahIM_mila_rahI_hE
the file in question is placed below	apekRiwa_PAila_nIce_raKI_hE
the finer points of	kI_bArIkiyAz
the first flight	apane_kAma_meM_SreRTa_honA
the first person	ApabIwI
the first world war	praWama_mahAyuxXa
the flesh	SarIra
the following interesting points have emerged	nimnaliKiwa_rucikara_bAweM_sAmane_AI_hE
the following points arise in this case	isa_mAmale_meM_nimnaliKiwa_muxxe_sAmane_Awe_hEM
the following points need consideration	nimnaliKiwa_bAwoM_para_vicAra_kie_jAne_kI_AvaSyakawA_hE
the former	pahalAvAlA{ApekRika}
the great	mahAna_loga
the hard right	xakRiNa_paMWI_vyakwi
the high life	raIsI_jIvana
the holy city	paviwra_mAnA_gayA_nagara
the injured	GAyala_loga
the internet adapter	iMtaraneta_anukUlaka
the invalid	apAhija_loga
the iron age	lOhayuga
the iron curtain	lOhAvaraNa
the matter has since been resolved	mAmale_kA_samAXAna_ho_gayA
the mute	gUzge_loga
the order of the day	jisa_kAma_ke_pUre_karane_meM_saBI_lage_hoM
the performance exceeded the target	niRpAxana_lakRya_se_aXika_hE
the proposal is quite in order	yaha_praswAva_bilkula_niyamAnukUla_hE
the ravages	ujAdZa{@s}
the required papers are placed below	apekRiwa_kAgZajZa_pawra_nIce_raKe_hEM
#the same	samAna_rUpa_se
the sick	bImAra_loga
the slow progress of work was attributed to	kArya_kI_XImI_pragawi_ke_nimnaliKiwa_kAraNa_bawAe_gaye_hEM
the son of God	IsAmasIha
the third degree	prabala_yAwanAez{sUcanA_prApwi_ke_liye_pulisa_xvArA_xI_jAnevAlI}
the third world	vikAsaSIla_xeSa
the trend of performance so far indicates	aBI_waka_ke_niRpAxana_kI_pravqwwi_yaha_xarSAwI_hE
the triple jump	wIna_bAra_kA_kUxa
the uninitiated	jiname_axIkRiwA_ho
the very words	ekaxama_vahI_Sabxa
the vitals	SarIra_ke_muKya_avayava[hraxaya_Ora_maswiRka]
the well	kUpa
the work was released for execution	kArya_niRpAxana_ke_lie_xe_xiyA_gayA
theater chain	Wiyetara_SrqMKalA
theater company	Wiyetara_kampanI
theatre attendant	SalyaSAlA_paricara
theatre goer	nAtaka_gqha_meM_jAne_vAlA_vyakwi
theatre supervisor	SalyaSAlA_paryavekRaka
theme song	viRaya_Xuna
then again	waba_Pira
then and there	wawkAla_vahIM
theological doctrine	AXyAwmika_sixXAnwa
theological seminar	brahmavEjFAnika_saMgoRTI
theoretical account	sExXAMwika_varNana
theory of sampling	namUnA_parIkRaNa_sixXAMwa
therapeutic rehabilitation	rogopacAra_punarvAsa
there are no flies on	cawura_vyakwi
there is no point in	meM_koI_wuka_nahIM_hE
thermal barrier	wApIya_avaroXa
thermal emission	URmIya_uwsarjana
thermal printer	wApIya_muxraka
thermionic emission	URmIya_vixyuxaNIya_uwsarjana
thermonuclear bomb	wApanABikIya_bama
thermos bottle	Warmasa_kI_bowala
theropod dinosaur	xvipaxacara_dAinosOra
these papers may be shown to for information and guidance	ina_kAgaja_pawroM_ko_sUcanA_Ora_mArga_xarSana_ke_lie_ko_xiKAyA_jAe
thick headed	mUrKa
thick paper	motA_kAgaja
thick skinned	cikanA_GadZA{jisa_para_AlocanA_BarwsanA_kA_koI_asara_na_ho}
thick stick	motI_lATI
thin faced	picake_gAloMvAlA
thin file memory	wanu_Pilma_smqwi
think\
third base	wriwIya_AXAra
third class	burA{wIsare_xarje_kA}
third crusade	wqwIya-XarmayuxXa
third dimension	wIsarA_vimA
third party candidate	anya_pakRa_ummIxavAra
third party guarantee	anya_pakRa_ayikwa_kI_gAraMtI_IrawyABUwi
third party insurance	wIsare_pakRa_kI_kRawipUrwi_kA_bImA
third party provider	wrinxala
third party	wIsarA_pakRa
third person	anya_puruRa[vyAkaraNa_ke_anusAra]
third rate	GatiyA
thirty eight	adZawIsa
thirty five	pEMwIsa
thirty four	cOMwIsa
thirty nine	unwAlIsa
thirty one	ikawwIsa
thirty seven	sEMwIsa
thirty six	CawwIsa
thirty three	weMwIsa
thirty two	bawwIsa
this is to certify	pramApriwa_kiyA_jAwA_hE
this is to inform	sUcanA_xI_jAwI_hE
this led to short computation of tax	isake_pariNAmasvarUpa_kara_kI_kama_saMgaNanA_huI
this office has no information in this respect	isa_kAryAlaya_ko_isa_saMbaMXa_meM_koWa_jAnakArI_nahIM_hE
this resulted in an extra expenditure of	isake_pariNAmasvarUpa-ru._kA_awirikwa_vyaya_huA
this side of	ke_isa_ora
thorough bass	pUrNamaMxaWaura_racanA
thoroughbred racing	GudZaxOdZabAjZI
thought provoking	paravicAra_karane_kA_viRaya
thousand times	hajZAra_bAra
thread blight	waMwu_aMgamArI
thread of control	niyaMwraNa_XAgA
threaded tree	sUwriwa_warU
three address instruction	wripawA_anuxeSa
three and half	sADe_wIna
three decker	wIna_sawahoM_vAlI
three dimension viewing	wri_vima_xqSyana
three dimensional array	wri_vima_saraNI
three dimensional	wIna_AyAmI
three hundred	wInasO
three member	wrisaxasyIya
three quarters	wIna_cOWAI
three state buffer	wri_avasWA_baPara
three tier network	wriwala_netavarka_jAlakrama
three times	wIna_bAra
three way handshake	wripaWa_pahacAna
threshold element	AraMBika_aMSa
threshold gate	xehalI_xvAra
thrift deposits	bacawa_jamArASiyAM
through and through	Suru_se_anwa_waka
through bill of lading	AxyAMwa_aIXA_laxAna_pawra
through booking	sIXI_bukiMga
through carriage	sIXA_dibbA
through freight	AxyAMwa_aIXA_mAla_yAwAyAwa_aarivahana
through oversight	najZara_cUka_jAne_se
through passage	sIXA_mArga
through proper channel	uciwa_mAXyama_se
through rate	arpiwa_xara
throw away	PeMka_xenA
throw in	PeMkanA{@s}
throw mud at	para_kIcadZa_uCAlanA
throwing away	bAhara_PeMkanA
thumb a lift	azgUTe_se_iSArA_karanA
thumb impression	azgUTA_niSAna
thumping majority	BArI_bahumawa
thus far	yahAz_waka
thyroid cartilage	gala_kAsWi
tibetan unit	wibbawI_ekaka
ticker tape	wAraleKI_kA_kAgaja
ticket agent	tikata_prawiniXi
ticket book	tikita_puswikA
ticket booth	tikita_Gara
ticket collector	tikata_kalaktara
ticket counter	tikata_kAuMtara
ticket cutting machine operator	tikata_karwaniwra_pracAlaka
ticket inspctor	tikata_nirIkRaka
ticket machine	tikata_kI_maSIna
ticket printer	tikata_muxraka
ticket sales	tikata_kI_bikrI
tidal basin	jvAraBAtA_vAlA_kRewra
tiddly winks	tidalI_viMksa{Kela_jisameM_KilAdI_maNdalaka_koM_uCAlakara
tide mark	caDZe_pAnI_xvArA_banAyA_niSAna
tide table	bADa_sUcI
tidy up	TIka_TAka_karanA
tie and dye	baMXeja_kI_razgAI
tie beam	baMXana_XannI
tie breaker	Kela_meM_barAbara_honA
tie clip	tAI_klipa
tie dye	baMXeja_kI_raMgAI_karanA
tie in's	tAI^baMXana{ba.}+kA
tie in	tAI^baMXana{@s}
tie pin	sajAvatI_pina
tie up arrangement	wAla_mela_vyavasWA
tie up	gawiroXa
tied house	SarAbaGara
tied loan	saSawa_karja
tiger cat	tAigara_billI
tight credit control	xqDZa_AXAra_niyaMwraNa
tight end	cuswa_sirA
tight fisted	kaMjUsa
tight lipped	cuppA
tight money market	mahaMgA_muxrA_bAjAra
tight money policy	muxrA_prasAra_rokane_kI_nIwi
tight money	UMcI_byAja_vAlA_qNa_@mahaMgI_muxrA
tight rope	nata_kI_rassI
till further orders	agale_AxeSa_hone_waka
till money	cala_Xana
till now	aBI_waka
tilt angle	JukAva_koNa
timber drag	TUzTa
timber examiner	prakARTa_parIkRaka
timber line	peda_kI_kawAra
timber sales	lakadI_kI_bikrI
timber supply officer	prakARTa_pUrwi_aXikArI
timber top opening	SahawIrI_puliyA
time allowed	anugawa_samaya
time and again	jaba_waba
time and cost over runs	aXika_samaya_Ora_lAgawa_kA_laganA
time barred claim	kAlAwIwa_xAvA
time barred premises	kAlAbAXiwa_parisara
time barred	kAlAwIwa
time being	PZilahAla
time bill	sAvaXi_iamaya_vipawra_aila
time bomb	niSciwa_samaya_para_Patane_vAlA_bama
time bound programme	samayabaxXa_kAryakrama
time bound	samayabaxXa
time capsule	kAla_saMputikA
time card	majaxUrI_kA_hisAba_raKane_kA_kArda
time clock	samaya_GadI
time complexity	kAla_jatilawA
time consuming	aXika_samaya_lenA
time deposit	sAvaXi_jamA
time division multiplexing	kAla_viBAjana_bahusaMkewana
time division switch	kAla_viBAjana_svica
time division	kAla_viBAjana
time draft	samaya_drAPta
time frame	kAlaPrema
time honoured	paramparA_kI_mAnyawA_raKanA
time keeper	yanwra_yA_vyakwi_jo_samaya_kA_rikArda_raKawA_hE
time lag	samayAMwara
time liabilities	sAvaXi_iIyAxI_xeyawAeM
time limit	nirXAriwa_samaya
time machine	kAla_yaMwra
time money	prawIka_muxrA
time off	samaya_samApwa
time office	samaya_kAryAlaya
time on	samaya_jArI
time ordering	kAla_kramaNa
time out interval	samaya_samApwa_aMwarAla
time out	samaya_samApwa
time overrun	samaya_laMGana
time promissory note	sAvaXi_iIyAxI_vacana_pawra
time pulse distribution	kAla_spaMxa_viwaraNa
time quantization	kAlAMSana
time rate system	amAnI_IAla_xara_paxXawi
time recording machine	samayaleKI_maSIna
time scale clerk	samaya-mAna_lipika
time scale of pay	vewana_kA_samaya_mAna
time scale	kAlamAna
time schedule	samaya-sUcI
time server	samaya_parisevaka
time sharing option	samaya_sahaBAjana_vikalpa
time sharing	kAla_sahaBAjana
time slicing	kAla_kawalIyana
time stamp	samaya_mohara
time study equipment	samaya-aXyayana_upaskara
time table clerk	samaya-sAraNI_lipika
time table inspector	samaya-sAraNI_nirIkRaka
time table	samaya-sAraNI
time to live	aswiwva_kAla
time zone	samAna_samaya_kRewra
timely compliance may be ensured	samaya_para_anupAlana_suniSciwa_kara_liyA_jAe
timely on set	niSciwa_samaya_para_FahonAta
timely submission	yaWAsamaya_preRapra_araswuwIkaraNa
timer clock	kAlaxa_GadZI
timer management	kAla_samaMjaka_prabaMXana
timing defect	samaya_xoRa
timing diagram	kAlamApana_waAreKa
timing signal	samaya_saMkewa
tin and copper smith	tIna_wAmrakAra
tin can	tina_kA_dibbA
tin cup	tina_kapa
tin foil	tina_kI_bArIka_parawa
tin hat	stIla_topI
tin opener	tIna_ke_banxa_dibbe_Kolane_kA_OjAra
tin plate	tIna_kI_caxxara
tin tack	tina_se_vilepiwa_CotA_kIlo
tinder box	soKwAxAna{agni_pExA_karane_vAle_paxArWa_kA_sanxUka}
ting a ling	JanakAra
tint fill	varNaka_xUra
tiolet paper	tOYyalEta_pepara
tip off	sAvaXAna_karanA
tip up	AsAnI_se_jAne_xenA{sinemA_Gara_me_kursiyoM_ko_UcAz_karake_logoM_ko}
tipper lorry	ulatAU_gAdI
tipsy cake	maxirA_se_banAyA_huA_keka
tire chains	tAyara_kI_cenas
tire less	AsAnI_se_nahIM_Wakane_vAlA
tire sales	tAyara_kI_bikrI
tissue paper	pawalA_pAraxarSI_kAgaja
tithe barn	KalihAna
title character	SIrRaka_pAwra
title deed	svawva_vileKa
title deeds	svawva_vileKa
title holder	prawiyogiwA_meM_jIwane_vAlA_KilAdI
title of occupation	hakZanAmA
title page	muKa_pqRTa
title role	SIrRaka_kI_BUmikA
tittle tattle	gapa_Sapa
to a higher degree	kuCa_jZyAxA_mAwrA_waka
to a lesser degree	kama_sImA_waka
to a tolerable degree	sahane_kI_sImA_waka
to accord priority	prAWamikawA_xenA
to act in pursuance	anusaraNa_meM_kArya_karanA
to adjourn sine die	aniSciwa_kAla_ke_lie_sWagiwa_karanA
to advantage	PAyaxe_ke_liye
to an adequate degree	eka_uciwa_mAwrA_waka
to and fro	iXara_uXara
to be precise	saMkRepa_meM
to be sure	pakkA
to become a figure of fun	vyaMga_kA_pAwra_bananA
to begin with	SuruAwa_karane_ke_liye
to comply with	anupAlana_karanA
to conform to specification by indian standards	BArawIya_mAnaka_viSiRtiyoM_ke_anurUpa_honA
to cut it fine	anwima_samaya_ke_liye_kAma_CodZanA
to date	Aja_waka
to day	Aja
to each one	hara_kisI_ko
to effect working adversely	kAryacAlana_para_prawikUla_praBAva_dAlanA
to escape notice	logoM_kI_najZaroM_se_bacane_ke_liye
to exercise the administrative and financial powers	praSAsanika_Ora_viwwIya_SakwiyoM_kA_prayoga_karanA
to extent anticipated	prawyASiwa_sImA_waka
to fight against	viRama_parisWiwi_meM_jUJanA
to find ways and means	upAya_nikAlanA
to foot the extra cost	awirikwa_lAgawa_vahana_karanA
to get down to a fine art	kisI_kAma_ko_acCI_waraha_karanA
to get rid of	se_CutakArA_pAnA
to get used to	se_AxI_ho_jAnA
to give commercial bias to mineral exploration	Kanija_gaveRaNA_ko_vANijyika_rUpa_xenA
to grant	pUrA_kara
to have key role	mahawvapUrNa_BUmikA_axA_karanA
to impose fine	jurmAnA_karanA
to impose restrictions	pAbaMxI_lagAnA
to initiate action	kArravAWa_AraMBa_karanA
to it	isa_ko
to levy	lagAnA
to match the maturities	avaXi_samApwi_ke_anurUpa
to morrow	kala{AnevAlA}
to no degree	kisI_sImA_waka_nahIM
to observe utmost economy	awyAXika_kiPAyawa_barawanA
to obviate idle time	niRkriya_samaya_ke_nirAkara
to oneself	pUrA_svayaM_ke_liye
to order	AxeSAnusAra
to pay a visit	milane_jAnA
to perfection	pUrNawA_waka
to put in abeyance	prAsWagiwa_karanA
to resort to	kA_sahArA_lenA
to supply according to schedule	kAryakrama_ke_anusAra_ApUrwi
to take initiative	sUwrapAwa_karanA
to take remedial action to avoid recurrence of such cases	Ese_mAmaloM_kI_punarAvqwwi_rokane_ke_lie_upacArI_kArravAI_karanA
to talk big	SeKI_mAranA
to tell you the truth	saca_wo_yaha_hE_ki
to that degree	usa_mAwrA_waka
to that effect	usa_praBAva_waka
to that extent	usa_sImA_waka
to that	usa_waka
to the accompaniment of	ke_saMgawa_se
to the best of ability	pUrI_yogyawA_se
to the best of knowledge and belief	jahAz_waka_pawA_hE_Ora_viSvAsa_hE
to the contrary	isake_viparIwa
to the exclusion of	ko_CodZakara
to the extent of	kI_sImA_waka
to the extent	sImA_waka
to the full	pUrNawaH
to the highest degree	badZI_se_badZI_mAwrA_waka
to the hilt	anwa_waka
to the letter	akRaraSaH
to the limit	parAkARTA_waka
to the lowest degree	nIcAI_kI_haxa_waka
to the miximum extent possible	samBAvya_aXikawama_sImA
to the north	uwwara_kI_ora
to the point	viRayAnukUla
to the prescribed extent	vihiwa_sImA
to the south	xakRiNa_kI_ora
to the tuneof to	ke_barAbara
to what degree	kisa_mAwrA_waka
to what extent	kisa_sImA_waka
to write back	prawileKana
to write down	avaleKana
to write off	batte_KAwe_liKanA
tobacco budworm	wambAKU_kI_kalI_meM_lagane_vAlA_kIdZA
tobacco money	waMbAkU_ke_pEse
tobacco sales	waMbAkU_kI_bikrI
toboggan cap	slejZa_topI
toe hold	pEra_ke_azgUTe_para_honA
toggling speed	pUrakana_cAla
toilet article	snAna_meM_upayoga_kI_vaswu
toilet bowl	kamoda
token bus network	tokana_basa_jAlakrama
token bus	tokana_basa
token grant	sAMkewika_anuxAna
token passing bus	tokana_pAraNa_basa
token passing ring	tokana_pAraNa_valaya
token passing	tokana_pAraNa
token pay	sAMkewika_vewana
token ring network	prawIka_valaya_jAla
token ring	prawIka_valaya
token strike	sAMkewika_hadZawAla
token talk	tokana_vArwA
tolerance level	guMjAiSa_kA_swara
toll agent	mArga_kara_prawiniXi
toll call	cuMgI_kI_kAla
toll center	Sulka_kenxra
toll clerk	paWakara_lipika
toll collector	paWakara_samAharwA
toll gate	Sulka_PAtaka
toll house	tola_xara
toll tax	tola
tom bola	lAtarI
tomato blight	tamAtara_aMgamArI
tomato concentrate	tamAtara_SorabA
tone deaf	wAna_baXira
tone down	maMxa_karanA
tone ending	wAna_anwa
tone image	svarAkqwi
tone printer	ABA_muxraka
tone up	wejZa_karanA
tongue tied	saMkoca
tonic epilepsy	niranwara_peSI_saMkoca
tonnage capacity	tana_BAra_aanIya_kRamawA
tonnage duty	pravarwa_Sulka
tonnage tax	tana_BAra_kara
too bad	bahuwa_burA
too careful	awyaXika_sawarka
too close	bahuwa_pAsa
too good to miss	na_CodZane_lAyaka
too many	bahuwa_aXika
too much for	jyAxA
too much	jZyAxA_hI
too soon	bahuwa_jalxI
tool bag	OjAra_kA_WElA
tool cabinet	OjZAra_kA_kEbaneta
tool case	OjZAra_kesa
tool checker	OjZAra_padZawAlakarwA
tool chest	OjZAra_petI
tool down strike	OjZArabaMxa_hadZawAla
tool fitter	OjZAra_Pitara
tool keeper	OjZAra_rakRaka
tool maker	OjZAra_banAne_vAlA
tool room gunner	O_OjZAra_kakRa_wopacI
tools and plant	OjAra_Ora_saMyaMwra
tooth enamel	xAzwa_kA_inEmala
tooth some	svAxiRta
top banana	sabase_Upara_kA_kelA
top boot	bUta
top class	awyuwwama
top dog	variRTa_aXikArI
top down design	SIrRa_pAxa_aBikalpa
top down parsing	SIrRa_pAxa_paxa_vinyAsa
top dressing	biCAyI_jAne_vAlI_KAxa
top hat	UzcI_topI
top most	sarvocca
top priority	parama-agrawA
top secret	parama_gupwa
topic drift	viRaya_cyuwi
topic group	viRaya_samUha
topographical computer	sWalAkqwika_kaMpyUtara
topological covering	sWAna_vijFAmpalqAna_saMbaMXI
topsy turvy	ulatA_pulatA
tornado cellar	GUrNavAyu_kakRa
torpedo boat	havAI_jahAjZa_xAgane_vAlI_nAva
torque converter	GUrNana_bala_saMparivarwaka
torsion balance	eMTana_wulA
tortilla chip	makke_kA_cipa
torture chamber	yaMwraNA_kakra
toss bombing	havAI-bamabArI
toss up's	tOYsa^altA_paltI{ba.}+kA
toss up	tOYsa^altA_paltI{@s}
total adhesion	pUrNa_AsaMjana
total amount collected during the year and the corresponding percentages	varRa_ke_xOrAna_vasUla_kI_gaI_kula_rASi_Ora_gawa_varRa_ke_xOrAna_waxanurUpI_prawiSawawA
total benefit	kula_hiwalABa
total connectivity	pUrNa_saMyojanIyawA
total creditor's account	kula_lenaxAra_leKA
total debtor's account	kula_xenaxAra_leKA
total disability	pUrNa_aSawawA
total eclipse	sampUrNa_grahaNa
total effect	kula_aamagra_praBAva
total effects	kula_saMpwwi_AAyaxAxa
total loss	pUrNa_hAni
total man hours	kula_kArya_GaMte
total off take	kula_KarIxa_aikAsI
total profit	kula_Aya
total service	kula_sevA_avaXi
total strength	kula_saMKyA
total voting power	kula_mawAXikAra
total world income	kula_viSva_Aya
tote bag	Done_vAlA_WElA
touch at	TaharanA
touch down	uwaranA
touch for	se__uXAra_lenA
touch off	xAganA
touch on	para_prakASa_dAlanA
touch panel	sparSa_Palaka
touch up	TIka_karanA
tour de force	[PreMca]camawkAra
tour diary	xOrA-dAyarI
tour ni quet	rakwabanXa
tour programme	xOrA-kAryakrama
tour publicity officer	paryatana_pracAra_aXikArI
tour regional officer	prAxeSika_paryatana_aXikArI
tour report	xOrA-riporta
touring car	sEra_kI_kAra
tourism director general	paryatana_mahAnixeSaka
tourist baggage rules	paryataka_sAmAna_niyamAvalI
tourist bureau	paryatana_byUro_oAryAlaya
tourist class	paryataka_SreNI
tourist guide	paryataka_gAida
tourist lodge	paryataka_Bavana
tourist office	paryataka_kAryAlaya
tourist officer	paryatana_aXikArI
tourist visa	paryataka_bIjZA
tow bar	KIMcane_ke_lie_gAdI_ke_pICe_lagA_huA_xaMda
tower block	swamBa_BUmiKaNda
tower pc	tAvara_pIsI
town and village planner	nagara_Ora_grAma_yojanAkAra
town area	SaharI_kRewra
town centre	nagara_kA_muKya_kRewra
town clerk	nagarapAlikA_bAbU
town council	nagarapAlikA_saBA
town councillor	nagarapAla
town country planning organization	nagara_Ora_grAma_yojanA_saMgaTana
town crier	DazDoriyA
town hall	nagara_Bavana
town planner	nagara_yojanAkAra
town planning institute	nagara_yojanA_saMsWAna
town planning	nagara_niyojana
town ship	nagara_kRewra
tox aemia	viRarakwawA
toy box	KilOne_kA_dibbA
toy chest	KilOne_petI
toy dog	KilOne_kA_kuwwA
toy sales	KilOnA_kI_bikrI
trace debugging	anureKI_xoRa_mArjana
trace driver	cihna_cAlaka
trace element	leSa_wawva
tracer bullet	anureKaka_golI
trach ball	paWa_gulikA
tracing paper	pAraxarSaka_kAgaja
tracing routine	anureKaNa_nemakA
track and field	mArga_yA_mExAna_meM_hone_vAlA_Kela-kUxa
track ball	paWa_geMxa
track circuit	rela_paripaWa_aatarI_paripaWa
track disk	paWa_diska
track events	xOda_Axi_Kela
track field	Kela_kA_mExAna
track record	piCalA_leKA_joKA
track renewals	relapaWa_navIkaraNa
track supply depot superintendent	relapaWa_pUrwi_dipo_aXIkRaka
track supply officer	relapaWa_pUrwi_aXikArI
track tape	paWa_tepa
tracker dog	SikArI_kuwwA
traction engine	sadZakoM_para_BArI_boJa_KIMcane_kA_BApa_kA_gawiSIla_iMjana
traction inspector	kaRarNa_nirIkRaka
traction power and traction controller	kaRarNa_Sikwa_Ora_kaRarNa_niyaMwraka
traction power controller	kaRarNa_Sikwa_niyaMwraka
traction superintendent	kaRarNa_aXIkRaka
traction train examiner	kaRarNa_gAdZI_parIkRaka
tractor driver	trEktara_cAlaka
tractor trailor	trEktara_ke_pICe_judZA_vAhana
trade acceptance	vyApAra_svIkqwi
trade agency	vyApAra-aBikaraNa
trade agent	vyApAra_aBikarwA_
trade agreement	vyApAra_kZarAra
trade allowance	kadZaxA
trade apprentice	vyavasAya_SikRu
trade balance	vyApAra_saMwulana
trade ban	vyApAra_prawibaMXa_aoka
trade barrier	vyApAra_roXa
trade bill	vyApAra_bila
trade book	vyApAra_puswikA
trade boycott	vyApAra_bahiRkAra
trade charges account	vyApAra_praBAra
trade classification	vyApAra_ayavasAya_vagabakaraNa
trade commissioner	vyApAra_Ayukwa_aamiSnara
trade credit	vyApAra_qNa
trade credits	vyApArika_uXAra
trade cycle	vyApAra_cakra
trade deficit	vyApAra_xAtA
trade delegation	vyApAra_prawiniXimaMdala
trade development authority of india	BArawIya_vyApAra_vikAsa_prAXikaraNa
trade development authority	vyApAra_vikAsa_prAXikaraNa
trade directory	vyApAra_nirxeSikA
trade discount	vyApArika_battA
trade dispute	Srama_vivAxa
trade embargo	vyApAra_kA_sWagana
trade expenses account	vyApAra_Karca_leKA
trade fair authority of india	BArawIya_vyApAra_melA_prAXikaraNa
trade gap	vyApAra_aMwarAla
trade group	vyApAra_guta
trade index number	vyavasAya_sUcakAMka
trade ledger	vyApAra_KAwA
trade mark	vyAvasAyika_cihna
trade marks	treda_mArka
trade name	vyAvasAyika_nAma
trade practice	vyApAra_praWA
trade price	vikraya_mUlya
trade protection association	vyApAra_saMrakRaNa_saMxa
trade reference	vyApArika_havAlA
trade relations	vyApAra_saMbaMXa
trade representative	vyApAra_prawiniXi
trade route	vyApAra_mArga
trade samples	vyApArika_namUne
trade secret	vyApAra_rahasya
trade statistics	vyApAra_AMkadZe
trade test	vyavasAya_parIkRA
trade union activities	Sramika_aajZaxUra_saMxa_gawiviXiyAM
trade union	karmacArI_saMgaTana
trade unionism	Sramika_aajZaxUra_saMxavAxa
trade wind	pUrvI_havA
trading account	vyApAra_leKA
trading actitivies	vyApArika_gawiviXiyAM
trading and manufacturing account	vyApAra_waWA_vinirmANa_leKA
trading card	vyavasAyika_kArda
trading corporation	vyApAra_nigama
trading day	vyApAra_xivasa
trading in yarn	sUwa_kA_vyApAra
trading liability	vyApArika_xeyawA
trading limits	vyApAra_sImAeM
trading operations	vyApAra_saMbaMXI_kAryavAhiyAz
trading suspended	bAjAra_ayApAra_baMxa_rahA
traditional newsgroup hierarchy	pAraMparika_samAcArasamUha_varIyawA
traffic accounts officer	yAwAyAwa_leKA_aXikArI
traffic audit section	yAwAyAwa_leKAparIkRA_anuBAga
traffic circle	yAwAyAwa_paripaWa
traffic control	yAwAyAwa_niyanwraNa
traffic controller	yAwAyAwa_niyaMwraka
traffic cop	yAwAyAwa_kA_pulisa
traffic manager	yAwAyAwa_prabaMXaka
traffic police	yAwAyAwa_pulisa
traffic receipts	yAwAyAwa_prApwiyAM
traffic rules	yAwAyAwa_niyama
traffic jam	trePika_jAma
traffic signaller	yAwAyAwa_siganalara
trafficking in import licences	AyAwa_lAiseMsoM_kI_corabAjArI
tragi comedy	Soka_waWA_hAsya_pUrNa_nAtaka
trail blazer	mArgaxarSaka
trail riding	muSkiloM_BarA_rAswA
trailer camp	traka_Sivira
