aa	e~e
verses	Sloka~{@s}
verses'	Sloka{@s}{@vib:kA}
verse's	Sloka{@vib:kA}
versing	kaviwA~{@ing}
versing	Sloka~{@ing}
version	saMskaraNa^vqwAnwa{0}
versions	saMskaraNa^vqwAnwa{@s}
versions'	saMskaraNa^vqwAnwa{@s}{@vib:kA}
version's	saMskaraNa^vqwAnwa{@vib:kA}
versions'	vqwAnwa^Avqwwi{ba.}{@vib:kA}
versions	vqwAnwa^Avqwwi{@s}
version's	vqwAnwa^Avqwwi{@vib:kA}
version	vqwAnwa^Avqwwi{0}
versus	@versus{->viparIwa}
versus	viparIwa
vertebrae	rIdZa~kA~jodZa{@s}
vertebrae's	rIdZa~kA~jodZa{ba.}{@vib:kA}
vertebra	rIdZa~kA~jodZa{0}
vertebras'	rIdZa~kA~jodZa{ba.}{@vib:kA}
vertebras	rIdZa~kA~jodZa{@s}
vertebra's	rIdZa~kA~jodZa{@vib:kA}
vertexes	SIrRa{@s}
vertexes'	SIrRa{@s}{@vib:kA}
vertexes'	wriBuja~kA~SIrRa^SiKara{ba.}{@vib:kA}
vertexes	wriBuja~kA~SIrRa^SiKara{@s}
vertex	SIrRa{0}
vertex's	SIrRa{@vib:kA}
vertex's	wriBuja~kA~SIrRa^SiKara{@vib:kA}
vertex	wriBuja~kA~SIrRa^SiKara{0}
verticaler	lambarUpa~{wara}
verticalest	lambarUpa~{wama}
verticalest	lamba~{wama}
vertical	lambarUpa[-]
vertical	lamba[-]
vertically	lambAkAra~meM
verticals'	lambarUpa{ba.}{@vib:kA}
verticals	lambarUpa{@s}
vertical's	lambarUpa{@vib:kA}
verticals	lamba{@s}
verticals'	lamba{@s}{@vib:kA}
vertical's	lamba{@vib:kA}
vertigines	cakkara~AnA~kI~bImArI{UzcAI~para}{@s}
vertigines's	cakkara~AnA~kI~bImArI{UzcAI~para}{ba.}{@vib:kA}
vertigo	cakkara~AnA~kI~bImArI{UzcAI~para}{0}
vertigoes	cakkara~AnA~kI~bImArI{UzcAI~para}{@s}
vertigoes's	cakkara~AnA~kI~bImArI{UzcAI~para}{ba.}{@vib:kA}
vertigo's	cakkara~AnA~kI~bImArI{UzcAI~para}{@vib:kA}
verves'	uwsAha{ba.}{@vib:kA}
verves	uwsAha{@s}
verve's	uwsAha{@vib:kA}
verve	uwsAha{0}
very	bahuwa[>bilkula]
very	bahuwa[uwwamA~sUcaka]^usI
vesicle	CotA~ASaya^CAlA{0}
vesicles'	CotA~ASaya^CAlA{ba.}{@vib:kA}
vesicles	CotA~ASaya^CAlA{@s}
vesicle's	CotA~ASaya^CAlA{@vib:kA}
vespers	girajAGara~meM~sAyaMkAla~kI~prArWanA{0}
vespers's	girajAGara~meM~sAyaMkAla~kI~prArWanA{@vib:kA}
vessel	barwana{0}
vessel	jahAjZa^barwana{0}
vessels'	barwana{ba.}{@vib:kA}
vessels	barwana{@s}
vessel's	barwana{@vib:kA}
vessels	jahAjZa^barwana{@s}
vessels'	jahAjZa^barwana{@s}{@vib:kA}
vessel's	jahAjZa^barwana{@vib:kA}
vest	aMgaraKA/aXikAra~praxAna~karanA{0}
vest	azgaraKA/xenA{kAnUnI}{0}
vested	aMgaraKA/aXikAra~praxAna~karanA~{@ed/@en}
vested	azgaraKA/xenA{kAnUnI}~{@ed/@en}
vestibule	dyoDI^prakoRTa{0}
vestibules'	dyoDI^prakoRTa{ba.}{@vib:kA}
vestibules	dyoDI^prakoRTa{@s}
vestibule's	dyoDI^prakoRTa{@vib:kA}
vestige	paxAMka{0}
vestiges'	paxAMka{ba.}{@vib:kA}
vestiges	paxAMka{@s}
vestige's	paxAMka{@vib:kA}
vesting	aMgaraKA/aXikAra~praxAna~karanA~{@ing}
vesting	azgaraKA/xenA{kAnUnI}~{@ing}
vestment	aMgaraKA{0}
vestments'	aMgaraKA{ba.}{@vib:kA}
vestments	aMgaraKA{@s}
vestment's	aMgaraKA{@vib:kA}
vestries'	girajAGara~meM~pAxariyoM~kA~saMlagna~vaswrAlaya{ba.}{@vib:kA}
vestries	girajAGara~meM~pAxariyoM~kA~saMlagna~vaswrAlaya{@s}
vestry	girajAGara~meM~pAxariyoM~kA~saMlagna~vaswrAlaya{0}
vestry's	girajAGara~meM~pAxariyoM~kA~saMlagna~vaswrAlaya{@vib:kA}
vests'	aMgaraKA/aXikAra~praxAna~karanA{ba.}{@vib:kA}
vests	aMgaraKA/aXikAra~praxAna~karanA~{@s}
vest's	aMgaraKA/aXikAra~praxAna~karanA{@vib:kA}
vests	azgaraKA/xenA{kAnUnI}~{@s}
vests'	azgaraKA/xenA{kAnUnI}{@s}{@vib:kA}
vest's	azgaraKA/xenA{kAnUnI}{@vib:kA}
vetches'	matara~jAwi~kA~pOXA{ba.}{@vib:kA}
vetches	matara~jAwi~kA~pOXA{@s}
vetch	matara~jAwi~kA~pOXA{0}
vetch's	matara~jAwi~kA~pOXA{@vib:kA}
veteran	anuBavI{0}
veterans'	anuBavI{ba.}{@vib:kA}
veterans	anuBavI{@s}
veteran's	anuBavI{@vib:kA}
veterans	vqxXa{anuBavI}{@s}
veterans'	vqxXa{anuBavI}{@s}{@vib:kA}
veteran's	vqxXa{anuBavI}{@vib:kA}
veteran	vqxXa{anuBavI}{0}
veterinarian	paSu~cikiwsaka{0}
veterinarians'	paSu~cikiwsaka{ba.}{@vib:kA}
veterinarians	paSu~cikiwsaka{@s}
veterinarian's	paSu~cikiwsaka{@vib:kA}
veterinarier	paSu~cikiwsA~saMbaMXI~{wara}
veterinaries'	paSu~cikiwsA~saMbaMXI{ba.}{@vib:kA}
veterinaries	paSu~cikiwsA~saMbaMXI{@s}
veterinariest	paSu~cikiwsA~saMbaMXI~{wama}
veterinary	paSu~cikiwsA~saMbaMXI[-]
veterinary's	paSu~cikiwsA~saMbaMXI{@vib:kA}
vetoed	prawiniReXa/kAnUna~kA~masUxA~asvIkqwa~karanA~{@ed/@en}
vetoed	vIto{inkAra}~{@ed/@en}
vetoes	prawiniReXa/kAnUna~kA~masUxA~asvIkqwa~karanA~{@s}
vetoes's	prawiniReXa/kAnUna~kA~masUxA~asvIkqwa~karanA{ba.}{@vib:kA}
vetoes's	vIto{inkAra}{@s}{@vib:kA}
vetoes	vIto{inkAra}~{@s}
vetoing	prawiniReXa/kAnUna~kA~masUxA~asvIkqwa~karanA~{@ing}
vetoing	vIto{inkAra}~{@ing}
veto	prawiniReXa/kAnUna~kA~masUxA~asvIkqwa~karanA{0}
veto's	prawiniReXa/kAnUna~kA~masUxA~asvIkqwa~karanA{@vib:kA}
veto's	vIto{inkAra}{@vib:kA}
veto	vIto{inkAra}{0}
vet	paSu~cikiwsaka/BalI~prakAra~jAzca~karanA{0}
vets'	paSu~cikiwsaka/BalI~prakAra~jAzca~karanA{ba.}{@vib:kA}
vets	paSu~cikiwsaka/BalI~prakAra~jAzca~karanA~{@s}
vet's	paSu~cikiwsaka/BalI~prakAra~jAzca~karanA{@vib:kA}
vetted	paSu~cikiwsaka/BalI~prakAra~jAzca~karanA~{@ed/@en}
vetting	paSu~cikiwsaka/BalI~prakAra~jAzca~karanA~{@ing}
vexation	kleSa{0}
vexations'	kleSa{ba.}{@vib:kA}
vexations	kleSa{@s}
vexation's	kleSa{@vib:kA}
vexatiouser	sanwApa~xene~vAlA~{wara}
vexatiousest	sanwApa~xene~vAlA~{wama}
vexatious	sanwApa~xene~vAlA[-]
vexed	gussA~karanA[honA]^cinwiwa~honA~{@ed/@en}
vexed	sawAnA~{@ed/@en}
vexes	gussA~karanA[honA]^cinwiwa~honA~{@s}
vexes	sawAnA~{@s}
vex	gussA~karanA[honA]^cinwiwa~honA{0}
vexing	gussA~karanA[honA]^cinwiwa~honA~{@ing}
vexing	sawAnA~{@ing}
vex	sawAnA{0}
VHF	awi~ucca~wIvrawA
viability	jIvana~kRamawA/vyavahAryawA
viable	karane~yogya^jIne~yogya[-]
viabler	karane~yogya^jIne~yogya~{wara}
viablest	karane~yogya^jIne~yogya~{wama}
viaduct	pula{0}
viaducts'	pula{ba.}{@vib:kA}
viaducts	pula{@s}
viaduct's	pula{@vib:kA}
via	kI~rAha~se
vial	SISI{0}
vials'	SISI{ba.}{@vib:kA}
vials	SISI{@s}
vial's	SISI{@vib:kA}
via	@via{->kI~rAha~se}
vibranter	spaMxiwa{uwsAha~Ora~Sakwi~sahiwa}^camakIle~Ora~AkarRaka~{wara}
vibrantest	spaMxiwa{uwsAha~Ora~Sakwi~sahiwa}^camakIle~Ora~AkarRaka~{wama}
vibrant	spaMxiwa{uwsAha~Ora~Sakwi~sahiwa}^camakIle~Ora~AkarRaka[-]
vibrants'	spaMxiwa{uwsAha~Ora~Sakwi~sahiwa}^camakIle~Ora~AkarRaka{ba.}{@vib:kA}
vibrants	spaMxiwa{uwsAha~Ora~Sakwi~sahiwa}^camakIle~Ora~AkarRaka{@s}
vibrant's	spaMxiwa{uwsAha~Ora~Sakwi~sahiwa}^camakIle~Ora~AkarRaka{@vib:kA}
vibraphone	jalawaraMga~jEse~vixyuwa~vAxya{0}
vibraphones'	jalawaraMga~jEse~vixyuwa~vAxya{ba.}{@vib:kA}
vibraphones	jalawaraMga~jEse~vixyuwa~vAxya{@s}
vibraphone's	jalawaraMga~jEse~vixyuwa~vAxya{@vib:kA}
vibrated	spaMxiwa~honA~{@ed/@en}
vibrate	spaMxiwa~honA{0}
vibrates	spaMxiwa~honA~{@s}
vibrating	spaMxiwa~honA~{@ing}
vibration	spaMxana{0}
vibrations'	spaMxana{ba.}{@vib:kA}
vibrations	spaMxana{@s}
vibration's	spaMxana{@vib:kA}
vibrato	gitakirI{0}
vibratos'	gitakirI{ba.}{@vib:kA}
vibratos	gitakirI{@s}
vibrato's	gitakirI{@vib:kA}
vibrofeeder	vAIbroPIdara
vicariouser	prawiniXirUpa~{wara}
vicariousest	prawiniXirUpa~{wama}
vicarious	prawiniXirUpa[-]
vicars'	vikAra{carca~meM~pujArI}{ba.}{@vib:kA}
vicars	vikAra{carca~meM~pujArI}{@s}
vicar's	vikAra{carca~meM~pujArI}{@vib:kA}
vicar	vikAra{carca~meM~pujArI}{0}
vice-chairman	upAXyakRa/upa-saBApawi
vice-president	uparARtrapawi~upAXyakRa/upa-saBApawi
viceroy	rAjapAla{0}
viceroys'	rAjapAla{ba.}{@vib:kA}
viceroys	rAjapAla{@s}
viceroy's	rAjapAla{@vib:kA}
vicer	vyasana^SikaMjA~{wara}
vicest	upa-/xurguNa~{wama}
vicest	vyasana^SikaMjA~{wama}
vices	upa-/xurguNa{@s}
vices'	upa-/xurguNa{@s}{@vib:kA}
vice's	upa-/xurguNa{@vib:kA}
vices'	vyasana^SikaMjA{ba.}{@vib:kA}
vices	vyasana^SikaMjA{@s}
vice's	vyasana^SikaMjA{@vib:kA}
Vice-	upa-
vice	upa-/xurguNa
vice	vyasana^SikaMjA
vicinities'	adZosa~padZosa{ba.}{@vib:kA}
vicinities	adZosa~padZosa{@s}
vicinity	adZosa~padZosa{0}
vicinity's	adZosa~padZosa{@vib:kA}
viciouser	xurAcArI^ugra~{wara}
viciousest	krUra{GAwaka}~{wama}
viciousest	xurAcArI^ugra~{wama}
vicious	krUra{GAwaka}[-]
vicious	xurAcArI^ugra[-]
vicissitudes'	uwAra~caDZAva{ba.}{@vib:kA}
vicissitudes	uwAra~caDZAva{@s}
vicissitude's	uwAra~caDZAva{@vib:kA}
vicissitude	uwAra~caDZAva{0}
victimised	SikAra~banAnA~{@ed/@en}
victimise	SikAra~banAnA{0}
victimises	SikAra~banAnA~{@s}
victimising	SikAra~banAnA~{@ing}
victimized	SikAra~banAnA~{@ed/@en}
victimize	SikAra~banAnA{0}
victimizes	SikAra~banAnA~{@s}
victimizing	SikAra~banAnA~{@ing}
victim	SikAra{0}
victim	SikAra^pIdiwa~vyakwi{0}
victims'	SikAra^pIdiwa~vyakwi{ba.}{@vib:kA}
victims	SikAra^pIdiwa~vyakwi{@s}
victim's	SikAra^pIdiwa~vyakwi{@vib:kA}
victims	SikAra{@s}
victims'	SikAra{@s}{@vib:kA}
victim's	SikAra{@vib:kA}
victorian	purAwanapaMWI^viktoirayA~kAlIna
victories'	vijaya{ba.}{@vib:kA}
victories	vijaya{@s}
victories	vijaya{@s}
victories'	vijaya{@s}{@vib:kA}
victoriouser	vijayI~{wara}
victoriousest	vijayI~{wama}
victorious	vijayI[-]
victors'	vijewA{ba.}{@vib:kA}
victors	vijewA{@s}
victors	vijewA{@s}
victors'	vijewA{@s}{@vib:kA}
victor's	vijewA{@vib:kA}
victor's	vijewA{@vib:kA}
victor	vijewA{0}
victor	vijewA{0}
victory's	vijaya{@vib:kA}
victory's	vijaya{@vib:kA}
victory	vijaya{0}
victory	vijaya{0}
videoconference	vIdiyo~sammelana
videoer	vIdiyo{xqSya}/vIdiyo~banAnA~{wara}
videoest	vIdiyo{xqSya}/vIdiyo~banAnA~{wama}
videoserver	vIdiyo~parisevaka
videos'	vIdiyo{xqSya}/vIdiyo~banAnA{ba.}{@vib:kA}
videos	vIdiyo{xqSya}/vIdiyo~banAnA{@s}
video's	vIdiyo{xqSya}/vIdiyo~banAnA{@vib:kA}
videotapeed	vIdiyo~tepa~{@ed/@en}
videotapeing	vIdiyo~tepa~{@ing}
videotapes	vIdiyo~tepa~{@s}
videotape's	vIdiyo~tepa{@vib:kA}
videotape	vIdiyo~tepa{0}
video	vIdiyo{xqSya}/vIdiyo~banAnA[-]
vide	xeKi
vied	prawisparXA~kara~{@ed/@en}
vied	sparXA~karanA~{@ed/@en}
vienna	viyanAA
vie	prawisparXA~kara{0}
vie	sparXA~karanA{0}
vies	prawisparXA~kara~{@s}
vies	sparXA~karanA~{@s}
VIETNAM	viyawanAma
viewed	xqRti^xqSya~{@ed/@en}
viewed	xqSya^xeKanA^xqRtikoNa~{@ed/@en}
viewfinder	xqSyaxarSI
viewing	xqRti^xqSya~{@ing}
viewing	xqSya^xeKanA^xqRtikoNa~{@ing}
viewpoints	xqRtibinxu{@s}
viewpoints'	xqRtibinxu{@s}{@vib:kA}
viewpoint's	xqRtibinxu{@vib:kA}
viewpoints'	xqSya~jo~sugamawA~se~xeKA~jA~sake{ba.}{@vib:kA}
viewpoints	xqSya~jo~sugamawA~se~xeKA~jA~sake{@s}
viewpoint's	xqSya~jo~sugamawA~se~xeKA~jA~sake{@vib:kA}
viewpoint	xqRtibinxu{0}
viewpoint	xqSya~jo~sugamawA~se~xeKA~jA~sake{0}
viewport	prekRaka~aBiprAya
views'	xqRti^xqSya{ba.}{@vib:kA}
views	xqRti^xqSya~{@s}
view's	xqRti^xqSya{@vib:kA}
views	xqSya^xeKanA^xqRtikoNa~{@s}
views'	xqSya^xeKanA^xqRtikoNa{@s}{@vib:kA}
view's	xqSya^xeKanA^xqRtikoNa{@vib:kA}
view	xqRti^xqSya{0}
view	xqSya^xeKanA^xqRtikoNa{0}
vigilance	sAvaXAnI{0}
vigilance	sawarkawA
vigilances'	sAvaXAnI{ba.}{@vib:kA}
vigilances	sAvaXAnI{@s}
vigilance's	sAvaXAnI{@vib:kA}
vigilanter	sAvaXAna~{wara}
vigilantest	sAvaXAna~{wama}
vigilant	sAvaXAna[-]
vigil	jAgaraNa{0}
vigils'	jAgaraNa{ba.}{@vib:kA}
vigils	jAgaraNa{@s}
vigil's	jAgaraNa{@vib:kA}
vignetted	mAnapawra~para~kA~belabUtA~{@ed/@en}
vignette	mAnapawra~para~kA~belabUtA{0}
vignettes'	mAnapawra~para~kA~belabUtA{ba.}{@vib:kA}
vignettes	mAnapawra~para~kA~belabUtA~{@s}
vignette's	mAnapawra~para~kA~belabUtA{@vib:kA}
vignetting	mAnapawra~para~kA~belabUtA~{@ing}
vigorouser	joraxAra~{wara}
vigorousest	joraxAra~{wama}
vigorousest	prabala^ojasvI~{wama}
vigorous	joraxAra[-]
vigorously	uwsAha~se
vigorous	prabala^ojasvI[-]
vigor	Sakwi{0}
vigor	Sakwi/praBAva{0}
vigors'	Sakwi/praBAva{ba.}{@vib:kA}
vigors	Sakwi/praBAva{@s}
vigor's	Sakwi/praBAva{@vib:kA}
vigors	Sakwi{@s}
vigors'	Sakwi{@s}{@vib:kA}
vigor's	Sakwi{@vib:kA}
vigour	Sakwi{0}
vigour	Sakwi/praBAva{0}
vigours'	Sakwi/praBAva{ba.}{@vib:kA}
vigours	Sakwi/praBAva{@s}
vigour's	Sakwi/praBAva{@vib:kA}
vigours	Sakwi{@s}
vigours'	Sakwi{@s}{@vib:kA}
vigour's	Sakwi{@vib:kA}
vijayan	vijayan
vijaya	vijayA
vijendra	vijenxra
vile	GqNiwa^aXama[-]
viler	GqNiwa^aXama~{wara}
vilest	GqNiwa^aXama~{wama}
vilified	apavAxa~karanA~{@ed/@en}
vilifies	apavAxa~karanA~{@s}
vilify	apavAxa~karanA{0}
vilifying	apavAxa~karanA~{@ing}
villa	baMgalA{xehAwI..}^baMgalA{0}
village	gAzva{0}
village	gAzva{0}
villagerer	grAmINa~{wara}
villagerest	grAmINa~{wama}
villager	grAmINa[-]
villagers'	grAmINa{ba.}{@vib:kA}
villagers	grAmINa~loga{@s}
villagers	grAmINa{@s}
villager's	grAmINa{@vib:kA}
villages'	gAzva{ba.}{@vib:kA}
villages	gAzva{@s}
villages	gAzva{@s}
villages'	gAzva{@s}{@vib:kA}
village's	gAzva{@vib:kA}
village's	gAzva{@vib:kA}
villain	KalanAyaka
villainouser	upaxravI~{wara}
villainousest	upaxravI~{wama}
villainous	upaxravI[-]
villas'	baMgalA{xehAwI..}^baMgalA{ba.}{@vib:kA}
villas	baMgalA{xehAwI..}^baMgalA{@s}
villa's	baMgalA{xehAwI..}^baMgalA{@vib:kA}
vim	Sakwi{0}
vims'	Sakwi{ba.}{@vib:kA}
vims	Sakwi{@s}
vim's	Sakwi{@vib:kA}
vinay	vinaya
vindicated	nyAya~sixXa~honA[karanA]~{@ed/@en}
vindicate	nyAya~sixXa~honA[karanA]{0}
vindicates	nyAya~sixXa~honA[karanA]~{@s}
vindicating	nyAya~sixXa~honA[karanA]~{@ing}
vindication	nyAya~sWApanA{0}
vindications'	nyAya~sWApanA{ba.}{@vib:kA}
vindications	nyAya~sWApanA{@s}
vindication's	nyAya~sWApanA{@vib:kA}
vindictive	baxalA~lenevAlA[-]
vindictiver	baxalA~lenevAlA~{wara}
vindictivest	baxalA~lenevAlA~{wama}
vinegared	sirakA~{@ed/@en}
vinegaring	sirakA~{@ing}
vinegar	sirakA{0}
vinegars'	sirakA{ba.}{@vib:kA}
vinegars	sirakA~{@s}
vinegar's	sirakA{@vib:kA}
vines'	xrAkRA{ba.}{@vib:kA}
vines	xrAkRA{@s}
vine's	xrAkRA{@vib:kA}
vine	xrAkRA{0}
vineyard	aMgUra~kA~bAga{0}
vineyards'	aMgUra~kA~bAga{ba.}{@vib:kA}
vineyards	aMgUra~kA~bAga{@s}
vineyard's	aMgUra~kA~bAga{@vib:kA}
vinoy	vinaya
vintaged	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}~{@ed/@en}
vintage	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}[-]{0}
vintager	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}~{wara}
vintages'	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}{ba.}{@vib:kA}
vintages	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}~{@s}
vintage's	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}{@vib:kA}
vintagest	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}~{wama}
vintaging	mahawvapUrNa~samaya{aMgUra~saMbanXI}^mahawvapUrNa~samaya{aMgUra~ikaTTA~karane~kA}~{@ing}
vintner	aMgUrI~SarAba~becanevAlA{0}
vintners'	aMgUrI~SarAba~becanevAlA{ba.}{@vib:kA}
vintners	aMgUrI~SarAba~becanevAlA{@s}
vintner's	aMgUrI~SarAba~becanevAlA{@vib:kA}
viola	eka~prakAra~kI~badZI~bela{0}
violas'	eka~prakAra~kI~badZI~bela{ba.}{@vib:kA}
violas	eka~prakAra~kI~badZI~bela{@s}
viola's	eka~prakAra~kI~badZI~bela{@vib:kA}
violated	ullaMGana~kara~{@ed/@en}
violated	wodZanA~{@ed/@en}
violater	wodZanA~{wara}
violatest	ullaMGana~kara~{wama}
violatest	wodZanA~{wama}
violates	ullaMGana~kara~{@s}
violates	wodZanA~{@s}
violate	ullaMGana~kara{0}[-]
violate	wodZanA[-]{0}
violating	ullaMGana~kara~{@ing}
violating	wodZanA~{@ing}
violations	ullaMGana{@s}
violations'	ullaMGana{@s}{@vib:kA}
violation's	ullaMGana{@vib:kA}
violations'	wodZanA{ba.}{@vib:kA}
violations	wodZanA{@s}
violation's	wodZanA{@vib:kA}
violation	ullaMGana{0}
violation	wodZanA{0}
violative	awikramaNa
violence	hiMsA{0}
violence	hiMsA{0}
violences'	hiMsA{ba.}{@vib:kA}
violences	hiMsA{@s}
violences	hiMsA{@s}
violences'	hiMsA{@s}{@vib:kA}
violence's	hiMsA{@vib:kA}
violence's	hiMsA{@vib:kA}
violenter	hiMsAwmaka~{wara}
violentest	hiMsAwmaka~{wama}
violentest	hiMsAwmaka~{wama}
violent	hiMsAwmaka[-]
violent	hiMsAwmaka[-]
violently	hiMsA~ke~sAWa
violet	bEMganI^bEMganI~raMga~kA[-]
violeter	bEMganI^bEMganI~raMga~kA~{wara}
violetest	bEMganI^bEMganI~raMga~kA~{wama}
violets'	bEMganI^bEMganI~raMga~kA{ba.}{@vib:kA}
violets	bEMganI^bEMganI~raMga~kA{@s}
violet's	bEMganI^bEMganI~raMga~kA{@vib:kA}
violinist	sAraMgI~belA~Axi~bajAne~vAlA{0}
violinists'	sAraMgI~belA~Axi~bajAne~vAlA{ba.}{@vib:kA}
violinists	sAraMgI~belA~Axi~bajAne~vAlA{@s}
violinist's	sAraMgI~belA~Axi~bajAne~vAlA{@vib:kA}
violin	sAraMgI{0}
violin	sAraMgI{0}
violins'	sAraMgI{ba.}{@vib:kA}
violins	sAraMgI{@s}
violins	sAraMgI{@s}
violins'	sAraMgI{@s}{@vib:kA}
violin's	sAraMgI{@vib:kA}
violin's	sAraMgI{@vib:kA}
viper	sAzpa{0}
vipers'	sAzpa{ba.}{@vib:kA}
vipers	sAzpa{@s}
viper's	sAzpa{@vib:kA}
vipin	vipina
virendra	vIrenxra
virginer	kuzArI~{wara}
virginest	kuzArI~{wama}
virginest	kuzvArI~{wama}
virginia	varjIniyA
virginities'	kuzArApana{ba.}{@vib:kA}
virginities	kuzArApana{@s}
virginity	kuzArApana{0}
virginity's	kuzArApana{@vib:kA}
virgin	kuzArI[-]
virgin	kuzvArI[-]
virgins'	kuzArI{ba.}{@vib:kA}
virgins	kuzArI{@s}
virgin's	kuzArI{@vib:kA}
virgins	kuzvArI{@s}
virgins'	kuzvArI{@s}{@vib:kA}
virgin's	kuzvArI{@vib:kA}
virile	puruRa~yA~puruRawva~saMbaMXI[-]
viriler	puruRa~yA~puruRawva~saMbaMXI~{wara}
virilest	puruRa~yA~puruRawva~saMbaMXI~{wama}
virilities'	pOrURa{ba.}{@vib:kA}
virilities	pOrURa{@s}
virility	pOrURa{0}
virility's	pOrURa{@vib:kA}
virologist	vAirasavijFAnI
virtualer	lagaBaga{vAswava~meM~nahIM}~{wara}
virtualest	lagaBaga{vAswava~meM~nahIM}~{wama}
virtualest	vyavahArya{kinwu_avAswavika}~{wama}
virtual	lagaBaga{vAswava~meM~nahIM}[-]
virtually	lagaBaga{vAswava~meM~nahIM}
virtually	vyavahArya~rupa~se{kinwu_avAswavika}
virtual	vyavahArya{kinwu_avAswavika}[-]
virtue	guNa^acCAI{0}
virtue	nEwika~guNa{0}
virtues	guNa^acCAI{@s}
virtues'	guNa^acCAI{@s}{@vib:kA}
virtue's	guNa^acCAI{@vib:kA}
virtues'	nEwika~guNa{ba.}{@vib:kA}
virtues	nEwika~guNa{@s}
virtue's	nEwika~guNa{@vib:kA}
virtuosi	guNI~kalAkAra{@s}
virtuosi's	guNI~kalAkAra{ba.}{@vib:kA}
virtuoso	guNI~kalAkAra{0}
virtuosos'	guNI~kalAkAra{ba.}{@vib:kA}
virtuosos	guNI~kalAkAra{@s}
virtuoso's	guNI~kalAkAra{@vib:kA}
virtuours	saxguNa
virtuouser	nEwika~{wara}
virtuousest	nEwika~{wama}
virtuous	nEwika[-]
virulenter	viRamaya~{wara}
virulentest	viRamaya~{wama}
virulent	viRamaya[-]
virus	CUwa~ke~rogoM~kA~viRa{0}
viruses'	CUwa~ke~rogoM~kA~viRa{ba.}{@vib:kA}
viruses	CUwa~ke~rogoM~kA~viRa{@s}
viruses	vAyarasa{@s}
viruses'	vAyarasa{@s}{@vib:kA}
virus's	CUwa~ke~rogoM~kA~viRa{@vib:kA}
virus's	vAyarasa{@vib:kA}
virus	vAyarasa{0}
visaed	vIjZA{praveSa_pawra}~{@ed/@en}
visage	muKa~Cavi{0}
visages'	muKa~Cavi{ba.}{@vib:kA}
visages	muKa~Cavi{@s}
visage's	muKa~Cavi{@vib:kA}
visaing	vIjZA{praveSa_pawra}~{@ing}
visakhapatnam	viSAKApawwanam
visas	vIjZA{praveSa_pawra}~{@s}
visas'	vIjZA{praveSa_pawra}{@s}{@vib:kA}
visa's	vIjZA{praveSa_pawra}{@vib:kA}
visa	vIjZA{praveSa_pawra}{0}
vis-a-viser	ke~saMxarBa~meM~{wara}
vis-a-visest	ke~saMxarBa~meM~{wama}
vis-a-vis	ke~saMxarBa~meM
vis-a-vis	vIjZA/praveSa-pawra
vis	barAswA
viscount	iMglEMda~meM~eka~amIra~kI~paxavI{0}
viscounts'	iMglEMda~meM~eka~amIra~kI~paxavI{ba.}{@vib:kA}
viscounts	iMglEMda~meM~eka~amIra~kI~paxavI{@s}
viscount's	iMglEMda~meM~eka~amIra~kI~paxavI{@vib:kA}
vises	upa-/xurguNa{@s}
vises'	upa-/xurguNa{@s}{@vib:kA}
vise's	upa-/xurguNa{@vib:kA}
vises'	vyasana^SikaMjA{ba.}{@vib:kA}
vises	vyasana^SikaMjA{@s}
vise's	vyasana^SikaMjA{@vib:kA}
vise	upa-/xurguNa{0}
vise	vyasana^SikaMjA{0}
vishoi	viSoI
visibilities'	xiKanA/xqSyawA{ba.}{@vib:kA}
visibilities	xiKanA/xqSyawA{@s}
visibility's	xiKanA/xqSyawA{@vib:kA}
visibility	xiKanA/xqSyawA{0}
visibler	xqSya~{wara}
visiblest	xqRtigocara~{wama}
visiblest	xqSya~{wama}
visible	xqRtigocara[-]
visible	xqSya[-]
visionarier	kalpiwa/KZayAlI~pulAva~pakAne~vAlA~{wara}
visionaries'	kalpiwa/KZayAlI~pulAva~pakAne~vAlA{ba.}{@vib:kA}
visionaries	kalpiwa/KZayAlI~pulAva~pakAne~vAlA{@s}
visionariest	kalpiwa/KZayAlI~pulAva~pakAne~vAlA~{wama}
#visionary	kalpiwa/KZayAlI~pulAva~pakAne~vAlA[-]
visionary's	kalpiwa/KZayAlI~pulAva~pakAne~vAlA{@vib:kA}
visionary	svapnaxarSI-
visioned	xqRti~{@ed/@en}
visioned	xqRti^xarSana{kalpanA}~{@ed/@en}
visioning	xqRti~{@ing}
visioning	xqRti^xarSana{kalpanA}~{@ing}
visions'	xqRti{ba.}{@vib:kA}
visions	xqRti~{@s}
vision's	xqRti{@vib:kA}
