# Girl standing in front of me ..
# Structure of the file:
##_I_was_fond_of_her_music.
#GOD,ÈÏÌÚÂèÌÚ,PADA,,
#These_are_the_people_who_most_need_our_help.
#_Girl_standing_in_front_of_me_..
#_Structure_of_the_file:
#aBiyAna_->_aBiyAna_calAnA
#anybody,³Û×Ü~ËÜ^³å§~ËÜ,PADA,kisI_oblque_form_of_koI,BI_is_optional_in_interrogative,
#anything's,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#anything,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#drift's,ÊØÆÚ{vib:³Ú},SABDA,,
#drift,ÊØÆÚ{0},SABDA,,
#drifted,ÊØÆÚ~{ed/en},SABDA,,
#drifting,ÊØÆÚ~{ing},SABDA,,
#drifts',ÊØÆÚ{s}{vib:³Ú},SABDA,,
#drifts,ÊØÆÚ~{s},SABDA,,
#fond,È×ÆèÄ~ØåÆÚ2[-],SABDA,,
#most,¤ÅÛ³ÂÌ,PADA,,
#nervous,ÔèÍµèÏ^×èÆÚÍÔÛ³[-],SABDA,,
#nobody,³å§~ÆØÜ¢{0},SABDA,,
#none,³å§~ÆØÜ¢,SABDA,,
#nothing,³İ¹~ËÜ~ÆØÜ¢^ÕŞÆèÍ{0},SABDA,,
#retain,×èÃÛÏ~Ï´ÆÚ{0},SABDA,,
#retained,×èÃÛÏ~Ï´ÆÚ~{ed/en},SABDA,,
#retaining,×èÃÛÏ~Ï´ÆÚ~{ing},SABDA,,
#retains,×èÃÛÏ~Ï´ÆÚ~{s},SABDA,,
#some,³İ¹^³å§,SABDA,,
#standing,×èÃÚ§/ÈèÏÂÛÖè¾Ú[-]~{ing},SABDA,,
#urge's,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{vib:³Ú},SABDA,,
#urge,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{0},SABDA,,
#urged,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ed/en},SABDA,,
#urges',ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
#urges,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{s},SABDA,,
#urging,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ing},SABDA,,
#walking,ÈâÄÑ~¸ÑÆÚ[-]~{ing},SABDA,,
#wrd,paxasuwra,source,comment,path_of_essay_file
#writing,ÑÛ´Ú§,PADA,,
subsoil,¤ÅåÌßÄÚ/ÆÜ¸á~³Ü~ÌÛ½è½Ü,,,
subsonic,¤ÔÅèÔÆÛ³,,,
substance's,ÈÄÚÏèÃ^×ÚÏ{vib:³Ú},SABDA,,
substance,ÈÄÚÏèÃ^×ÚÏ{0},SABDA,,
substances',ÈÄÚÏèÃ^×ÚÏ{s}{vib:³Ú},SABDA,,
substances,ÈÄÚÏèÃ^×ÚÏ{s},SABDA,,
substandered,×ÚÌÚÆèÍ~×èÂÏ~³á~ÆÜ¸á,,,
substantial's,×ÚÏèÃ³/ËÏÈŞÏ{vib:³Ú},SABDA,,
substantial,×ÚÏèÃ³/ËÏÈŞÏ[-],SABDA,,
substantialest,×ÚÏèÃ³/ËÏÈŞÏ~{ÂÌ},SABDA,,
substantially,ËÏÈŞÏ~ÏŞÈ~×á,SABDA,,
substantials',×ÚÏèÃ³/ËÏÈŞÏ{s}{vib:³Ú},SABDA,,
substantials,×ÚÏèÃ³/ËÏÈŞÏ{s},SABDA,,
substantiate,×ÛÄèÅ~³ÏÆÚ,,,
substantive,ÔÛÅÛÔÂ~ÈèÏ×èÂÚÔÛÂ/ÈßÖè¾ÚÅÚÏÔÚÑÚ,,,
substitute's,×èÃÚÆÚÈÆèÆ~ÔèÍ³èÂÛ^Ô×èÂİ{vib:³Ú},SABDA,,
substitute,×èÃÚÆÚÈÆèÆ~ÔèÍ³èÂÛ^Ô×èÂİ{0},SABDA,,
substituted,ÈèÏÂÛ×èÃÚÈÛÂ~³Ï~{ed/en},PADA,,
substitutes',×èÃÚÆÚÈÆèÆ~ÔèÍ³èÂÛ^Ô×èÂİ{s}{vib:³Ú},SABDA,,
substitutes,ÈèÏÂÛ×èÃÚÈÛÂ~³Ï~{s},PADA,,
substituting,ÈèÏÂÛ×èÃÚÈÛÂ~³Ï~{ing},PADA,,
substitution,ÈèÏÂÛ×èÃÚÈÆ/³á~×èÃÚÆ~ÈÏ~Ï´ÆÚ,Administration_Glossary:HARIRAM,,
substrate's,ÆÜ¸á~³Ú~×èÂÏ{vib:³Ú},SABDA,,
substrate,ÆÜ¸á~³Ú~×èÂÏ{0},SABDA,,
substrates',ÆÜ¸á~³Ú~×èÂÏ{s}{vib:³Ú},SABDA,,
substrates,ÆÜ¸á~³Ú~×èÂÏ{s},SABDA,,
substratum,ÆÜ¸á~³Ú~×èÂÏ,,,
substructure,¨È×¢Ï¸ÆÚ,,,
subsume,×ÌÚÔÛÖè½~³ÏÆÚ,,,
subterfuge,ÂÛ³¿éÌ/ÊØÚÆÚ,,,
subterranean,¤ÆèÂÏèËŞÌÛ³/ËŞÌÛµÂ,,,
subtle,×Ş³èÖèÌ`[-],SABDA,,
subtler,×Ş³èÖèÌ`~{ÂÏ},SABDA,,
subtlest,×Ş³èÖèÌ`~{ÂÌ},SABDA,,
subtract,¶½ÚÆÚ{0},SABDA,,
subtracted,¶½ÚÆÚ~{ed/en},SABDA,,
subtracting,¶½ÚÆÚ~{ing},SABDA,,
subtracts,¶½ÚÆÚ~{s},SABDA,,
subtree,¨ÈÔß³èÖ~/~¤ÔÂÏ~/~¤ÔÂÏŞ,Data-Structures/Algorithms/Standards,,
suburb's,¨ÈÆµÏ{vib:³Ú},SABDA,,
suburb,¨ÈÆµÏ{0},SABDA,,
suburban's,¨ÈÆµÏÜÍ{vib:³Ú},SABDA,,
suburban,¨ÈÆµÏÜÍ[-],SABDA,,
suburbanest,¨ÈÆµÏÜÍ~{ÂÌ},SABDA,,
suburbans',¨ÈÆµÏÜÍ{s}{vib:³Ú},SABDA,,
suburbans,¨ÈÆµÏÜÍ{s},SABDA,,
suburbs',¨ÈÆµÏ{s}{vib:³Ú},SABDA,,
suburbs,¨ÈÆµÏ{s},SABDA,,
subversion's,¨Ñ½~ÄáÆá~³Ü~³èÏÛÍÚ{vib:³Ú},SABDA,,
subversion,¨Ñ½~ÄáÆá~³Ü~³èÏÛÍÚ{0},SABDA,,
subversions',¨Ñ½~ÄáÆá~³Ü~³èÏÛÍÚ{s}{vib:³Ú},SABDA,,
subversions,¨Ñ½~ÄáÆá~³Ü~³èÏÛÍÚ{s},SABDA,,
succeed,×ÉÑ~ØåÆÚ/ÊÚÄ~Ìá¢~¥ÆÚ{0},SABDA,,
succeeded,×ÉÑ~ØåÆÚ/ÊÚÄ~Ìá¢~¥ÆÚ~{ed/en},SABDA,,
succeeding,×ÉÑ~ØåÆÚ/ÊÚÄ~Ìá¢~¥ÆÚ~{ing},SABDA,,
succeeds,×ÉÑ~ØåÆÚ/ÊÚÄ~Ìá¢~¥ÆÚ~{s},SABDA,,
success's,×ÉÑÂÚ{vib:³Ú},SABDA,,
success,×ÉÑÂÚ{0},SABDA,,
successes',×ÉÑÂÚ{s}{vib:³Ú},SABDA,,
successes,×ÉÑÂÚ{s},SABDA,,
successful,×ÉÑ[-],SABDA,,
successfulest,×ÉÑ~{ÂÌ},SABDA,,
successfully,×ÉÑÂÚÈŞÏèÔ³,SABDA,,
succession's,×ÛÑ×ÛÑÚ/ÈÄµèÏØÁ{vib:³Ú},SABDA,,
succession,×ÛÑ×ÛÑÚ/ÈÄµèÏØÁ{0},SABDA,,
successions',×ÛÑ×ÛÑÚ/ÈÄµèÏØÁ{s}{vib:³Ú},SABDA,,
successions,×ÛÑ×ÛÑÚ/ÈÄµèÏØÁ{s},SABDA,,
successor's,¨ÂèÂÏÚÅÛ³ÚÏÜ{vib:³Ú},SABDA,,
successor,¨ÂèÂÏÚÅÛ³ÚÏÜ{0},SABDA,,
successors',¨ÂèÂÏÚÅÛ³ÚÏÜ{s}{vib:³Ú},SABDA,,
successors,¨ÂèÂÏÚÅÛ³ÚÏÜ{s},SABDA,,
succumb,»İ³~ºÚÆÚ[>ÌÏ~ºÚÆÚ]{0},SABDA,,
succumbed,»İ³~ºÚÆÚ[>ÌÏ~ºÚÆÚ]~{ed/en},SABDA,,
succumbing,»İ³~ºÚÆÚ[>ÌÏ~ºÚÆÚ]~{ing},SABDA,,
succumbs,»İ³~ºÚÆÚ[>ÌÏ~ºÚÆÚ]~{s},SABDA,,
such,Ôâ×Ú^¦ÂÆÚ^¨ÂÆÚ,SABDA,,
suck,¸Ş×ÆÚ{0},SABDA,,
sucked,¸Ş×ÆÚ~{ed/en},SABDA,,
sucking,¸Ş×ÆÚ~{ing},SABDA,,
sucks,¸Ş×ÆÚ~{s},SABDA,,
sudden's,¥³×èÌÛ³{vib:³Ú},SABDA,,
sudden,¥³×èÌÛ³{0},SABDA,,
suddenest,¥³×èÌÛ³~{ÂÌ},SABDA,,
suddenly,¤¸ÚÆ³,SABDA,,
suddens',¥³×èÌÛ³{s}{vib:³Ú},SABDA,,
suddens,¥³×èÌÛ³{s},SABDA,,
sue,Ìİ³ÄÌÚ~¸ÑÚÆÚ{0},SABDA,,
sued,Ìİ³ÄÌÚ~¸ÑÚÆÚ~{ed/en},SABDA,,
sues,Ìİ³ÄÌÚ~¸ÑÚÆÚ~{s},SABDA,,
suffer,³Öè½~ÈÚÆÚ{ÈÜ¿éÚ}^ÊÏÄÚÕèÂ~³ÏÆÚ{0},SABDA,,
suffered,³Öè½~ÈÚÆÚ{ÈÜ¿éÚ}^ÊÏÄÚÕèÂ~³ÏÆÚ~{ed/en},SABDA,,
suffering's,ÔáÄÆÚ^ÈÜ¿éÚ{vib:³Ú},SABDA,,
suffering,ÔáÄÆÚ^ÈÜ¿éÚ~{ing},SABDA,,
sufferings',ÔáÄÆÚ^ÈÜ¿éÚ{s}{vib:³Ú},SABDA,,
sufferings,ÔáÄÆÚ^ÈÜ¿éÚ{s},SABDA,,
suffers,³Öè½~ÈÚÆÚ{ÈÜ¿éÚ}^ÊÏÄÚÕèÂ~³ÏÆÚ~{s},SABDA,,
sufficient,ÍÃáÖè½[-],SABDA,,
sufficientest,ÍÃáÖè½~{ÂÌ},SABDA,,
sufficiently,ÈÏèÍÚÈèÂ~ÏŞÈ~×á,SABDA,,
suffix,¤ÆİÍåºÆ/¤¢Â~Ìá¢~ºå¿éÆÚ,Administration_Glossary:HARIRAM,,
sugar's,¸ÜÆÜ`{vib:³Ú},SABDA,,
sugar,¸ÜÆÜ`{0},SABDA,,
sugarcane,§´,FROMNET,,
sugared,¸ÜÆÜ`~{ed/en},SABDA,,
sugaring,¸ÜÆÜ`~{ing},SABDA,,
sugars',¸ÜÆÜ`{s}{vib:³Ú},SABDA,,
sugars,¸ÜÆÜ`~{s},SABDA,,
suggest,×İ»ÚÔ~ÄáÆÚ{0},SABDA,,
suggested,×İ»ÚÔ~ÄáÆÚ~{ed/en},SABDA,,
suggesting,×İ»ÚÔ~ÄáÆÚ~{ing},SABDA,,
suggestion's,×İ»ÚÔ{vib:³Ú},SABDA,,
suggestion,×İ»ÚÔ{0},SABDA,,
suggestions',×İ»ÚÔ{s}{vib:³Ú},SABDA,,
suggestions,×İ»ÚÔ{s},SABDA,,
suggests,×İ»ÚÔ~ÄáÆÚ~{s},SABDA,,
suicide's,¥ÂèÌØÂèÍÚ{vib:³Ú},SABDA,,
suicide,¥ÂèÌØÂèÍÚ{0},SABDA,,
suicides',¥ÂèÌØÂèÍÚ{s}{vib:³Ú},SABDA,,
suicides,¥ÂèÌØÂèÍÚ{s},SABDA,,
suing,Ìİ³ÄÌÚ~¸ÑÚÆÚ~{ing},SABDA,,
suit's,×Ş½[<×ÚÃ~ÍÚ~ÈÜ¹á~ºÚÆÚ]{vib:³Ú},SABDA,,
suit,×Ş½[<×ÚÃ~ÍÚ~ÈÜ¹á~ºÚÆÚ]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/suit
suitability,¨ÈÍİ³èÂÂÚ,FROMNET,,
suitable,¨ÈÍİ³èÂ[-],PADA,,
suitablest,¨ÈÍİ³èÂ~{ÂÌ},SABDA,,
suitcase's,×Ş½³á×/¤½á¸Ü{vib:³Ú},SABDA,,
suitcase,×Ş½³á×/¤½á¸Ü{0},SABDA,,
suitcases',×Ş½³á×/¤½á¸Ü{s}{vib:³Ú},SABDA,,
suitcases,×Ş½³á×/¤½á¸Ü{s},SABDA,,
suite's,Äå^ÂÜÆ_³ÌÏå¢_³Ú_×á½/ÔÚÄèÄÍ^×¢µÜÂ_Ï¸ÆÚ{vib:³Ú},SABDA,,
suite,Äå^ÂÜÆ_³ÌÏå¢_³Ú_×á½/ÔÚÄèÄÍ^×¢µÜÂ_Ï¸ÆÚ{0},SABDA,,
suited,×Ş½[<×ÚÃ~ÍÚ~ÈÜ¹á~ºÚÆÚ]~{ed/en},SABDA,,
suites',Äå^ÂÜÆ_³ÌÏå¢_³Ú_×á½/ÔÚÄèÄÍ^×¢µÜÂ_Ï¸ÆÚ{s}{vib:³Ú},SABDA,,
suites,Äå^ÂÜÆ_³ÌÏå¢_³Ú_×á½/ÔÚÄèÄÍ^×¢µÜÂ_Ï¸ÆÚ{s},SABDA,,
suiting,×Ş½[<×ÚÃ~ÍÚ~ÈÜ¹á~ºÚÆÚ]~{ing},SABDA,,
suits',×Ş½[<×ÚÃ~ÍÚ~ÈÜ¹á~ºÚÆÚ]{s}{vib:³Ú},SABDA,,
suits,×Ş½[<×ÚÃ~ÍÚ~ÈÜ¹á~ºÚÆÚ]~{s},SABDA,,
sum's,ºå¿é^µÁÛÂ~³Ú~ÈèÏÕèÆ^ÅÆÏÚÕÛ{vib:³Ú},SABDA,,
sum,ºå¿é^µÁÛÂ~³Ú~ÈèÏÕèÆ^ÅÆÏÚÕÛ{0},SABDA,,
summaries',×¢³èÖáÈ{s}{vib:³Ú},SABDA,,
summaries,×¢³èÖáÈ{s},SABDA,,
summariest,×¢³èÖáÈ~{ÂÌ},SABDA,,
summarily,×Ï×ÏÜ~ÂæÏ~ÈÏ/×¢³èÖáÈ~Ìá¢,Administration_Glossary:HARIRAM,,
summarization,×¢³èÖáÈÁ,Miscelleneous,,
summarize,×ÚÏÚ¢Õ~ÆÛ³ÚÑÆÚ~/~×¢³èÖáÈ,Miscelleneous,,
summary's,×¢³èÖáÈ{vib:³Ú},SABDA,,
summary,×¢³èÖáÈ[-],SABDA,,
summat,³Û¢¸ÛÂè,SABDA,,
summed,ºå¿é^µÁÛÂ~³Ú~ÈèÏÕèÆ^ÅÆÏÚÕÛ~{ed/en},SABDA,,
summer's,µèÏÜÖèÌ{vib:³Ú},SABDA,,
summer,µèÏÜÖèÌ{0},SABDA,,
summered,µèÏÜÖèÌ~{ed/en},SABDA,,
summering,µèÏÜÖèÌ~{ing},SABDA,,
summers',µèÏÜÖèÌ{s}{vib:³Ú},SABDA,,
summers,µèÏÜÖèÌ~{s},SABDA,,
summing,ºå¿é^µÁÛÂ~³Ú~ÈèÏÕèÆ^ÅÆÏÚÕÛ~{ing},SABDA,,
summon,ÊİÑÚÆÚ^×ÌèÌÆ~ÄáÆÚ{0},SABDA,,
summoned,ÊİÑÚÆÚ^×ÌèÌÆ~ÄáÆÚ~{ed/en},SABDA,,
summoning,ÊİÑÚÆÚ^×ÌèÌÆ~ÄáÆÚ~{ing},SABDA,,
summons,ÊİÑÚÆÚ^×ÌèÌÆ~ÄáÆÚ~{s},SABDA,,
sums',ºå¿é^µÁÛÂ~³Ú~ÈèÏÕèÆ^ÅÆÏÚÕÛ{s}{vib:³Ú},SABDA,,
sums,ºå¿é^µÁÛÂ~³Ú~ÈèÏÕèÆ^ÅÆÏÚÕÛ~{s},SABDA,,
sun's,×ŞÏèÍ{vib:³Ú},SABDA,,
sun,×ŞÏèÍ{0},SABDA,,
sunabeda,×İÆÚÊá¿éÚ,HARI-Prop_noun,,
sung,µÚÆÚ~{ed/en},SABDA,,
sunk,¿ŞÊÆÚ^Å¡×ÆÚ~{ed/en},SABDA,,
sunken,¿ŞÊÆÚ^Å¡×ÆÚ~{en},SABDA,,
sunlight's,ÅŞÈ{vib:³Ú},SABDA,,
sunlight,ÅŞÈ{0},SABDA,,
sunlights',ÅŞÈ{s}{vib:³Ú},SABDA,,
sunlights,ÅŞÈ{s},SABDA,,
sunned,×ŞÏèÍ~{ed/en},SABDA,,
sunning,×ŞÏèÍ~{ing},SABDA,,
suns',×ŞÏèÍ{s}{vib:³Ú},SABDA,,
suns,×ŞÏèÍ~{s},SABDA,,
sunset's,×ŞÏèÍÚ×èÂ{vib:³Ú},SABDA,,
sunset,×ŞÏèÍÚ×èÂ{0},SABDA,,
sunsets',×ŞÏèÍÚ×èÂ{s}{vib:³Ú},SABDA,,
sunsets,×ŞÏèÍÚ×èÂ{s},SABDA,,
super-tax,¤ÅÛ³Ï,Administration_Glossary:HARIRAM,,
superannuation,ÆÛÔÏèÂÆ,THAKURDASSJI,,
superb,¨Âè³ßÖè½[-],SABDA,,
superbest,¨Âè³ßÖè½~{ÂÌ},SABDA,,
superblock,ÌØÚÔÛÏåÅ~/~ÌØÚ´¢¿,Data-Structures/Algorithms/Standards,,
supercession,¤ÅÛ³èÏÌÁ,THAKURDASSJI,,
superintendence,¤ÅÜ³èÖÁ,Administration_Glossary:HARIRAM,,
superintendent's,¤ÅÜ³èÖ³{vib:³Ú},SABDA,,
superintendent,¤ÅÜ³èÖ³{0},SABDA,,
superintendents',¤ÅÜ³èÖ³{s}{vib:³Ú},SABDA,,
superintendents,¤ÅÜ³èÖ³{s},SABDA,,
superior's,ÔÏÛÖè¾^ÕèÏáÖè¾{vib:³Ú},SABDA,,
superior,ÔÏÛÖè¾^ÕèÏáÖè¾[-],SABDA,,
superiorest,ÔÏÛÖè¾^ÕèÏáÖè¾~{ÂÌ},SABDA,,
superiority's,ÔÏÛÖè¾ÂÚ{vib:³Ú},SABDA,,
superiority,ÔÏÛÖè¾ÂÚ{0},SABDA,,
superiors',ÔÏÛÖè¾^ÕèÏáÖè¾{s}{vib:³Ú},SABDA,,
superiors,ÔÏÛÖè¾^ÕèÏáÖè¾{s},SABDA,,
supernatural,¤Ñæ³Û³[-],SABDA,,
supernaturalest,¤Ñæ³Û³~{ÂÌ},SABDA,,
superscribe,©ÈÏ~ÑÛ´ÆÚ,Administration_Glossary:HARIRAM,,
supersession,¤ÅÛ³èÏÌÁ,Administration_Glossary:HARIRAM,,
superuser,×ÏèÔå¸è¸~ÈèÏÍå³èÂÚ,Software-Engineering,,
superviser,ÌÚÏèµÆÛÏèÄáÕ³,FROMNET,,
supervision's,ÈÏèÍÔá³èÖÁ~³ÏÆÚ{vib:³Ú},SABDA,,
supervision,ÈÏèÍÔá³èÖÁ~³ÏÆÚ{0},SABDA,,
supervisions',ÈÏèÍÔá³èÖÁ~³ÏÆÚ{s}{vib:³Ú},SABDA,,
supervisions,ÈÏèÍÔá³èÖÁ~³ÏÆÚ{s},SABDA,,
supervisory,ÈÏèÍÔá³èÖÜ,Administration_Glossary:HARIRAM,,
supper's,ÏÚÂ~³Ú~ËåºÆ{vib:³Ú},SABDA,,
supper,ÏÚÂ~³Ú~ËåºÆ{0},SABDA,,
suppered,ÏÚÂ~³Ú~ËåºÆ~{ed/en},SABDA,,
suppering,ÏÚÂ~³Ú~ËåºÆ~{ing},SABDA,,
suppers',ÏÚÂ~³Ú~ËåºÆ{s}{vib:³Ú},SABDA,,
suppers,ÏÚÂ~³Ú~ËåºÆ~{s},SABDA,,
supplely,×İÆÌèÍÂÚ~×á,SABDA,,
supplement's,ÈŞÏ³^ÈÏÛÕÛÖè½{vib:³Ú},SABDA,,
supplement,ÈŞÏ³^ÈÏÛÕÛÖè½{0},SABDA,,
supplementary,¤ÆİÈŞÏ³/ÈŞÏ³,THAKURDASSJI,,
supplemented,ÈŞÏ³^ÈÏÛÕÛÖè½~{ed/en},SABDA,,
supplementing,ÈŞÏ³^ÈÏÛÕÛÖè½~{ing},SABDA,,
supplements',ÈŞÏ³^ÈÏÛÕÛÖè½{s}{vib:³Ú},SABDA,,
supplements,ÈŞÏ³^ÈÏÛÕÛÖè½~{s},SABDA,,
supplied,ÈŞÏèÂÛ~[³ÏÆÚ]~{ed/en},SABDA,,
supplies',ÈŞÏèÂÛ~[³ÏÆÚ]{s}{vib:³Ú},SABDA,,
supplies,ÈŞÏèÂÛ~[³ÏÆÚ]~{s},SABDA,,
supply's,ÈŞÏèÂÛ~[³ÏÆÚ]{vib:³Ú},SABDA,,
supply,ÈŞÏèÂÛ~[³ÏÆÚ]{0},SABDA,,
supplying,ÈŞÏèÂÛ~[³ÏÆÚ]~{ing},SABDA,,
support,×ÌÏèÃÆ~³ÏÆÚ,THAKURDASSJI,,
suppose,³ÑèÈÆÚ`~³ÏÆÚ{0},SABDA,,
supposed,³ÑèÈÆÚ`~³ÏÆÚ~{ed/en},SABDA,,
supposes,³ÑèÈÆÚ`~³ÏÆÚ~{s},SABDA,,
supposing,³ÑèÈÆÚ`~³ÏÆÚ~{ing},SABDA,,
suppress,ÄÌÆ~³ÏÆÚ[>Ïå³ÆÚ^¹ÛÈÚ~ÄáÆÚ]{0},SABDA,,
suppressed,ÄÌÆ~³ÏÆÚ[>Ïå³ÆÚ^¹ÛÈÚ~ÄáÆÚ]~{ed/en},SABDA,,
suppresses,ÄÌÆ~³ÏÆÚ[>Ïå³ÆÚ^¹ÛÈÚ~ÄáÆÚ]~{s},SABDA,,
suppressing,ÄÌÆ~³ÏÆÚ[>Ïå³ÆÚ^¹ÛÈÚ~ÄáÆÚ]~{ing},SABDA,,
supremacy,×ÏèÔå¸è¸ÂÚ,Administration_Glossary:HARIRAM,,
supreme,¨¸è¸ÂÌ^ÈÏÌ[-],SABDA,,
supremest,¨¸è¸ÂÌ^ÈÏÌ~{ÂÌ},SABDA,,
surcharge's,¤ÅÛËÚÏ~[ÑµÚÆÚ]{vib:³Ú},SABDA,,
surcharge,¤ÅÛËÚÏ~[ÑµÚÆÚ]{0},SABDA,,
surcharged,¤ÅÛËÚÏ~[ÑµÚÆÚ]~{ed/en},SABDA,,
surcharges',¤ÅÛËÚÏ~[ÑµÚÆÚ]{s}{vib:³Ú},SABDA,,
surcharges,¤ÅÛËÚÏ~[ÑµÚÆÚ]~{s},SABDA,,
surcharging,¤ÅÛËÚÏ~[ÑµÚÆÚ]~{ing},SABDA,,
sure,È³è³Ú^ÆÛÕè¸ÛÂ,SABDA,,
surely,È³è³á~ÏŞÈ~×á,SABDA,,
surer,È³è³Ú^ÆÛÕè¸ÛÂ~{ÂÏ},SABDA,,
surest,È³è³Ú^ÆÛÕè¸ÛÂ~{ÂÌ},SABDA,,
surety,ºéÌÚÆÂ,THAKURDASSJI,,
surface's,ÅÏÚÂÑ^ÊÚØèÍÏŞÈ{vib:³Ú},SABDA,,
surface,ÅÏÚÂÑ^ÊÚØèÍÏŞÈ{0},SABDA,,
surfaced,ÅÏÚÂÑ^ÊÚØèÍÏŞÈ~{ed/en},SABDA,,
surfaces',ÅÏÚÂÑ^ÊÚØèÍÏŞÈ{s}{vib:³Ú},SABDA,,
surfaces,ÅÏÚÂÑ^ÊÚØèÍÏŞÈ~{s},SABDA,,
surfacing,ÅÏÚÂÑ^ÊÚØèÍÏŞÈ~{ing},SABDA,,
surfing,×ÏèÉÛ¢µ~/~×ÏèÉÆ,Internet,,
surpass,¥µá~ÆÛ³Ñ~ÊÀé~ºÚÆÚ{0},SABDA,,
surpassed,¥µá~ÆÛ³Ñ~ÊÀé~ºÚÆÚ~{ed/en},SABDA,,
surpasses,¥µá~ÆÛ³Ñ~ÊÀé~ºÚÆÚ~{s},SABDA,,
surpassing,¥µá~ÆÛ³Ñ~ÊÀé~ºÚÆÚ~{ing},SABDA,,
surplus's,Ê¸Â{vib:³Ú},SABDA,,
surplus,Ê¸Â[-],SABDA,,
surpluses',Ê¸Â{s}{vib:³Ú},SABDA,,
surpluses,Ê¸Â{s},SABDA,,
surplusest,Ê¸Â~{ÂÌ},SABDA,,
surprise's,¥Õè¸ÏèÍ^¥³èÏÌÁ~[³Ï~ÄáÆÚ]{vib:³Ú},SABDA,,
surprise,¥Õè¸ÏèÍ^¥³èÏÌÁ~[³Ï~ÄáÆÚ]{0},SABDA,,
surprised,¥Õè¸ÏèÍ^¥³èÏÌÁ~[³Ï~ÄáÆÚ]~{ed/en},SABDA,,
surprises',¥Õè¸ÏèÍ^¥³èÏÌÁ~[³Ï~ÄáÆÚ]{s}{vib:³Ú},SABDA,,
surprises,¥Õè¸ÏèÍ^¥³èÏÌÁ~[³Ï~ÄáÆÚ]~{s},SABDA,,
surprising,¥Õè¸ÏèÍ^¥³èÏÌÁ~[³Ï~ÄáÆÚ]~{ing}[-],SABDA,,
surprisingest,¥Õè¸ÏèÍºÆ³~{ÂÌ},SABDA,,
surprisingly,¥Õè¸ÏèÍºÆ³~ÏŞÈ~×á,SABDA,,
surrender,×ÌÏèÈÁ~[³ÏÆÚ]{0},SABDA,,
surrendered,×ÌÏèÈÁ~[³ÏÆÚ]~{ed/en},SABDA,,
surrendering,×ÌÏèÈÁ~[³ÏÆÚ]~{ing},SABDA,,
surrenders,×ÌÏèÈÁ~[³ÏÆÚ]~{s},SABDA,,
surround's,¸ÚÏå¢~°Ï~¶áÏ~ÑáÆÚ{vib:³Ú},SABDA,,
surround,¸ÚÏå¢~°Ï~¶áÏ~ÑáÆÚ{0},SABDA,,
surrounded,¸ÚÏå¢~°Ï~¶áÏ~ÑáÆÚ~{ed/en},SABDA,,
surrounding,¸ÚÏå¢~°Ï~¶áÏ~ÑáÆÚ~{ing},SABDA,,
surrounds',¸ÚÏå¢~°Ï~¶áÏ~ÑáÆÚ{s}{vib:³Ú},SABDA,,
surrounds,¸ÚÏå¢~°Ï~¶áÏ~ÑáÆÚ~{s},SABDA,,
survey's,×ÏèÔá³èÖÁ{vib:³Ú},SABDA,,
survey,×ÏèÔá³èÖÁ{0},SABDA,,
surveyed,×ÏèÔá³èÖÁ~{ed/en},SABDA,,
surveying,×ÏèÔá³èÖÁ~{ing},SABDA,,
surveys',×ÏèÔá³èÖÁ{s}{vib:³Ú},SABDA,,
surveys,×ÏèÔá³èÖÁ~{s},SABDA,,
survival's,ºéÛÆèÄÚ~ÏØÆÚ{¨ÂèÂÏºÜÔÛÂÚ}{vib:³Ú},SABDA,,
survival,ºéÛÆèÄÚ~ÏØÆÚ{¨ÂèÂÏºÜÔÛÂÚ}{0},SABDA,,
survivals',ºéÛÆèÄÚ~ÏØÆÚ{¨ÂèÂÏºÜÔÛÂÚ}{s}{vib:³Ú},SABDA,,
survivals,ºéÛÆèÄÚ~ÏØÆÚ{¨ÂèÂÏºÜÔÛÂÚ}{s},SABDA,,
survive,ºÜÔÛÂ~ÏØÆÚ{Ê¸~³Ï}{0},SABDA,,
survived,ºÜÔÛÂ~ÏØÆÚ{Ê¸~³Ï}~{ed/en},SABDA,,
survives,ºÜÔÛÂ~ÏØÆÚ{Ê¸~³Ï}~{s},SABDA,,
surviving,ºÜÔÛÂ~ÏØÆÚ{Ê¸~³Ï}~{ing},SABDA,,
suspect's,×¢ÄáØ^×¢ÄÛµèÅ~ÔèÍ³èÂÛ{vib:³Ú},SABDA,,
suspect,×¢ÄáØ^×¢ÄÛµèÅ~ÔèÍ³èÂÛ{0},SABDA,,
suspected,×¢ÄáØ^×¢ÄÛµèÅ~ÔèÍ³èÂÛ~{ed/en},SABDA,,
